file	line	reason
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	990	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	992	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	994	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	1156	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	1253	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/admin-action-api-inventory.txt	124	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/route-consumer-reconciliation-scan.txt	81	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/route-consumer-reconciliation-scan.txt	147	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/route-consumer-reconciliation-scan.txt	194	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	346	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	347	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	348	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	349	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	350	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	543	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	544	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	545	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	546	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	547	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	548	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	293	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	294	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	295	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	296	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	297	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	298	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	1228	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	1229	Trailing whitespace is inside a quoted baseline/source excerpt retained in audit evidence; audit artifact only, not product source.
