id	surface	severity	relation	category	source_path	line	actor	journey	finding	accepted_test
0D-PROVIDER-00326	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/lab/LabRegistration.tsx	121	patient/anonymous	diagnostics/homecare	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const TOTAL = 7;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00327	provider	P1	INSUFFICIENT_EVIDENCE	journey completeness	src/screens/lab/LabDashboard.tsx	355	patient/anonymous	diagnostics/homecare	screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: const [showReschedule, setShowReschedule] = useState(false);	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00328	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/lab/LabDashboard.tsx	1287	patient/anonymous	diagnostics/homecare	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const setTotalCopay = (val: string) => {	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00329	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/auth/AuthScreens.tsx	609	provider/staff	identity/session	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await fetch(`${API_BASE}/provider/auth/forgot-password`, {	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00330	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/facility/FacilityRegistration.tsx	82	patient/anonymous	catalog/discovery	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const TOTAL = 8;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00331	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/facility/FacilityDashboard.tsx	447	patient/anonymous	catalog/discovery	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const total = ward.total_beds || 0;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00332	provider	P1	INSUFFICIENT_EVIDENCE	journey completeness	src/screens/facility/FacilityDashboard.tsx	1846	patient/anonymous	pharmacy/orders	screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: checkOut: (a.check_out_at || '').slice(11, 16) || '—',	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00333	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/ambulance/AmbulanceRegistration.tsx	35	patient/anonymous	diagnostics/homecare	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const TOTAL = 4;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00334	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/shared/LiveKitRoomProvider.tsx	47	provider/staff	consultation/booking	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(`/calls/${roomId}/join`, { method: 'POST' });	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00335	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/shared/ProviderHome.tsx	18	provider/staff	pharmacy/orders	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch('/pharmacy/orders/pending');	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00336	provider	P1	INSUFFICIENT_EVIDENCE	journey completeness	src/screens/shared/SharedScreens.tsx	1118	patient/anonymous	insurance/payment	screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: : 'Your balance is negative due to refunds/adjustments — new earnings settle this debt before any withdrawal is allowed.'}	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00337	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/shared/SharedScreens.tsx	2004	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await fetch(`${API_BASE}/drugs/categories`, { headers });	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00338	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/shared/SharedScreens.tsx	2483	patient/anonymous	insurance/payment	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const updateCopay = (id: string, val: string) => {	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00339	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/shared/PharmacyChatResponder.tsx	18	patient/anonymous	pharmacy/orders	client calls an endpoint or method that requires live contract reconciliation. Static signal: transports: ['websocket'],	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00340	provider	P1	INSUFFICIENT_EVIDENCE	journey completeness	src/screens/nursing/NursingFieldOps.tsx	254	patient/anonymous	diagnostics/homecare	screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: : 'Use this ONLY if patient is found in a critical condition requiring hospital transfer. Visit will be aborted and patient fully refunded.'}	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00341	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/nursing/NursingRegistration.tsx	98	patient/anonymous	diagnostics/homecare	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const TOTAL = 8;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00342	provider	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	src/screens/doctor/DoctorDashboard.tsx	176	provider/staff	consultation/booking	client calls an endpoint or method that requires live contract reconciliation. Static signal: transports: ['websocket'],	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00343	provider	P1	INSUFFICIENT_EVIDENCE	journey completeness	src/screens/doctor/DoctorDashboard.tsx	1474	provider/staff	pharmacy/orders	screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: { id: '1', date: '2026-06-10', text: AR ? 'يحتاج معاملة خاصة وتهيئة سريعة قبل الدخول' : 'Needs special care and fast checkout on entry' },	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00344	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/doctor/DoctorDashboard.tsx	3812	provider/staff	consultation/booking	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const updateCopay = (id: string, val: string) => {	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PROVIDER-00345	provider	P0	UNIQUE_DEFECT	financial truth	src/screens/doctor/DoctorRegistration.tsx	106	provider/staff	consultation/booking	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const TOTAL = 7;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
