commit,short_commit,timestamp,subject,narrative_claim_reference,changed_file_count,change_groups,changed_paths_with_status,static_status,review_boundary
bcbfcbf8a5ec7a31a62ffab465813b760d5bbbfd,bcbfcbf,2026-08-25T13:33:30+03:00,feat(A): decisions locked + shared-contracts state machines + CI skeleton,YES,5,delivery_ops;documentation;shared_packages,A	.github/workflows/ci.yml;A	DECISIONS_LOCKED.md;A	packages/shared-contracts/package.json;A	packages/shared-contracts/src/index.ts;A	packages/shared-contracts/src/state-machines.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
612c84a0d764c6f3636bd874cd194e509bfbea67,612c84a,2026-08-25T17:08:56+03:00,fix(B): close 20 critical security holes across backend/mobile/web,YES,28,backend;patient_mobile;patient_web,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/chat/chat.gateway.ts;M	backend/src/modules/insurance-engine/insurance-engine.module.ts;M	backend/src/modules/moyasar/moyasar.module.ts;M	backend/src/modules/nabd-extensions/nabd-extensions.controller.ts;M	backend/src/modules/payments/paymob.controller.ts;M	backend/src/modules/payments/paymob.service.ts;M	backend/src/modules/provider-ops/provider-ops.module.ts;M	backend/src/modules/unified-bookings/unified-bookings.module.ts;M	backend/src/modules/unified-bookings/unified-bookings.service.ts;M	backend/src/schemas/slot-lock.schema.ts;M	patient-mobile/app/(auth)/otp.tsx;M	patient-mobile/app/payments/success.tsx;M	patient-mobile/app/settings/index.tsx;M	patient-mobile/src/utils/api.ts;M	patient-web/app/api/appointments/[appointmentId]/cancel/route.ts;M	patient-web/app/api/appointments/[appointmentId]/payment-intent/route.ts;M	patient-web/app/api/appointments/[appointmentId]/reschedule/route.ts;M	patient-web/app/api/appointments/book/route.ts;M	patient-web/app/api/auth/login/route.ts;M	patient-web/app/api/auth/logout/route.ts;M	patient-web/app/api/auth/otp/request/route.ts;M	patient-web/app/api/auth/otp/verify/route.ts;M	patient-web/app/api/auth/session/exchange/route.ts;M	patient-web/app/api/auth/session/route.ts;M	patient-web/app/api/auth/verify-2fa/route.ts;A	patient-web/lib/api/csrf.ts;M	patient-web/proxy.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
26102163a5fa07b73a0a4d5518932515e9e4535a,2610216,2026-08-25T18:02:10+03:00,feat(C): pharmacy governing-rules engine (PH-PHARMACY),YES,8,backend;patient_mobile,M	backend/src/modules/payments/payments.module.ts;M	backend/src/modules/pharmacy/pharmacy.controllers.ts;M	backend/src/modules/pharmacy/schemas/pharmacy.schema.ts;M	backend/src/modules/pharmacy/services/pharmacy-broadcast.service.ts;M	backend/src/modules/pharmacy/services/pharmacy-order.service.ts;M	patient-mobile/app/pharmacy/checkout.tsx;A	patient-mobile/app/pharmacy/offers.tsx;M	patient-mobile/app/pharmacy/payment.tsx,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
151dbef261a7ecce00749595744467d6b1b1180c,151dbef,2026-08-25T18:29:05+03:00,feat(C3): patient-web pharmacy governing-rules flow,YES,8,patient_web,A	patient-web/app/[locale]/pharmacy/offers/page.tsx;A	patient-web/app/[locale]/pharmacy/pay/page.tsx;A	patient-web/app/[locale]/pharmacy/select/page.tsx;A	patient-web/app/api/pharmacy/orders/[orderId]/cod/route.ts;A	patient-web/app/api/pharmacy/orders/[orderId]/offers/route.ts;A	patient-web/app/api/pharmacy/orders/[orderId]/select-offer/route.ts;A	patient-web/app/api/pharmacy/orders/route.ts;A	patient-web/lib/api/pharmacy-flow.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
b0bd5efb7f66de099888fd13e950c067eec34481,b0bd5ef,2026-08-25T20:23:37+03:00,feat(D): consultations insurance branch per PH-SERVICE governing rules,YES,3,backend,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/insurance-engine/insurance-engine.module.ts;M	backend/src/schemas/appointment.schema.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
fd61a0961d88d36251b13cd0b3d9f53a8b6c0464,fd61a09,2026-08-25T20:25:44+03:00,docs: execution handoff (done E-next map),NO,1,documentation,A	HANDOFF.md,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
74826b3ee6074ea08aa168c386f00fadea61965e,74826b3,2026-08-25T20:39:06+03:00,feat(E): labs/radiology booking funnel + unified coverage mirrors (PH-SERVICE),YES,4,backend;patient_mobile,M	backend/src/modules/insurance-engine/insurance-engine.module.ts;A	patient-mobile/app/diagnostics/book.tsx;M	patient-mobile/app/diagnostics/package-detail.tsx;M	patient-mobile/app/diagnostics/test-detail.tsx,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
42a52cccb14e3cdec10ba8913425acb31adc70e2,42a52cc,2026-08-25T20:41:33+03:00,feat(E-web): labs/radiology/nursing web booking per PH-SERVICE,YES,2,patient_web,A	patient-web/app/[locale]/labs/book/page.tsx;A	patient-web/app/api/bookings/[kind]/route.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
623742942ed1355abc7683517bbc9827d5d704d8,6237429,2026-08-25T20:54:08+03:00,"feat(F): family bookings verified, GDPR export live, data-rights buttons wired",YES,4,backend;patient_mobile,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/users/users.controller.ts;M	backend/src/schemas/appointment.schema.ts;M	patient-mobile/app/settings/data.tsx,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
5412d5ca2b7eed166c196292aa42610458ba9e21,5412d5c,2026-08-25T20:55:05+03:00,fix(J/X2): production compose actually boots now,YES,1,backend+delivery_ops,M	backend/docker-compose.prod.yml,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
43f13d544240ed206b3f890ad76b54ecadd7728b,43f13d5,2026-08-25T20:55:44+03:00,docs: handoff progress update,NO,1,documentation,M	HANDOFF.md,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
f24e34446e9d16f6fa5d2f2541d0b7b36468485e,f24e344,2026-08-25T21:03:35+03:00,"feat(H+J): root error boundary mounted, deep-link scheme unified (nabdplus), governing-rules e2e matrix (10 probes)",YES,4,backend;patient_mobile,A	backend/e2e/governing-rules.js;M	patient-mobile/app/_layout.tsx;M	patient-mobile/src/config/deepLinks.ts;M	patient-mobile/src/theme/index.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
2791d8241e73bedd741cc7b19f7c1bf15ee77ffd,2791d82,2026-08-25T21:03:54+03:00,docs: handoff H+J update,NO,1,documentation,M	HANDOFF.md,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
55659a822200b80fbe5376038db2662e8184df98,55659a8,2026-08-25T21:11:33+03:00,feat(G): wallet payment for selected pharmacy offer (atomic guarded debit),YES,2,backend,M	backend/src/modules/pharmacy/pharmacy.controllers.ts;M	backend/src/modules/pharmacy/services/pharmacy-order.service.ts,CHANGE_OBSERVED_NOT_RUNTIME_VERIFIED,"A commit and file diff exist; this does not prove wiring, authorization, tests, integration, or production behaviour."
