id	surface	severity	relation	category	source_path	line	actor	journey	finding	accepted_test
0D-PATIENT-MOBILE-00001	patient-mobile	P1	INSUFFICIENT_EVIDENCE	journey completeness	app/rn_screens.json	459	patient/anonymous	consultation/booking	"screen action or mutation exposes a journey branch requiring explicit error/cancel/retry handling. Static signal: ""file"": ""consultations/cancel-reschedule.tsx"","	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00002	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/_layout.tsx	59	patient/anonymous	identity/session	client calls an endpoint or method that requires live contract reconciliation. Static signal: bgSync.registerBackgroundFetch();	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00003	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/community/hub.tsx	59	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(`/community/posts?page=1&limit=20${qs}`);	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00004	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/community/post-detail.tsx	53	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(`/community/posts/${postId}`);	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00005	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/reports/hub.tsx	71	patient/anonymous	cross-surface	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(""/medical-reports/mine?limit=100"");"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00006	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/reports/timeline.tsx	43	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch('/medical-reports/timeline');	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00007	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/reports/view-report.tsx	70	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(`/reports/${params.id}`);	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00008	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/reports/passport.tsx	38	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: apiFetch('/medical-profile').then(res => setProfile(res)).catch(() => {});	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00009	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/profile/index.tsx	44	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: apiFetch('/loyalty/account')	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00010	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/profile/addresses.tsx	29	patient/anonymous	cross-surface	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const data = await apiFetch(""/users/me/addresses"");"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00011	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/profile/insurance.tsx	40	patient/anonymous	insurance/payment	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const data = await apiFetch(""/users/me/insurance"");"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00012	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/offers/index.tsx	23	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: apiFetch('/home/offers')	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00013	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/loyalty/hub.tsx	61	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const acc = await apiFetch('/loyalty/account');	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00014	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/loyalty/referrals.tsx	53	patient/anonymous	cross-surface	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch(""/referrals/my"");"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00015	patient-mobile	P0	UNIQUE_DEFECT	financial truth	app/loyalty/referrals.tsx	238	patient/anonymous	cross-surface	"client computes or trusts payment/order totals without server-authoritative proof. Static signal: {stats.total} {stats.total === 1 ? ""صديق"" : ""أصدقاء""}"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00016	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/loyalty/challenges.tsx	30	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const res = await apiFetch('/loyalty/challenges');	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00017	patient-mobile	P0	UNIQUE_DEFECT	financial truth	app/loyalty/challenges.tsx	106	patient/anonymous	cross-surface	client computes or trusts payment/order totals without server-authoritative proof. Static signal: const total = item.target_count || 7;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-MOBILE-00018	patient-mobile	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	app/loyalty/rewards.tsx	30	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: const acc = await apiFetch('/loyalty/account');	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
