requirement_id,route_or_surface,declared_plan_status,token_evidence_files,static_assessment,assessment_reason,plan_boundary,completion_definition
PM-001,(auth)/forgot-password,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/(auth)/login.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/navigation/RouterConfig.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized forgot-password page or password-recovery handler found in reviewed Web source tree. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-002,(auth)/login,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/(auth)/register.tsx;patient-mobile/app/(auth)/provider-info.tsx;patient-mobile/app/(auth)/reset-password.tsx;patient-mobile/app/(auth)/welcome.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/navigation/RouterConfig.ts;patient-mobile/src/hooks/useGuestGuard.tsx;patient-mobile/src/navigation/guards/AuthGuard.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,"Login form provides password, OTP and 2FA client paths; visual parity and upstream contract remain unproven. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md",CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-003,(auth)/otp,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/(auth)/login.tsx;patient-mobile/app/(auth)/register.tsx;patient-mobile/app/(auth)/forgot-password.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,"OTP is an in-form state, not a separately evidenced query route; one-time exchange/cookie behavior requires Backend/runtime reconciliation. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-0",CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-004,(auth)/privacy,BUILD,patient-mobile/app/(auth)/register.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Settings provides read-only privacy/security summaries; no consent or privacy-management mutation CTA is evidenced. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-006,(auth)/register,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/(auth)/login.tsx;patient-mobile/app/(auth)/welcome.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/navigation/RouterConfig.ts;patient-mobile/src/hooks/useGuestGuard.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized registration page or registration handler found in reviewed Web source tree. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-007,(auth)/reset-password,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/(auth)/otp.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized reset-password page or reset-password handler found in reviewed Web source tree. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-008,(auth)/terms,BUILD,patient-mobile/app/(auth)/register.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized terms/acceptance page or handler found in reviewed Web source tree. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-009,(auth)/welcome,COMPLETE_OR_REPLACE,patient-mobile/app/index.tsx;patient-mobile/app/rn_screens.json;patient-mobile/app/settings/index.tsx;patient-mobile/app/(onboarding)/permissions.tsx;patient-mobile/app/(onboarding)/language.tsx;patient-mobile/app/profile/index.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Public landing is a partial web welcome alternative but does not evidence native onboarding/legal/account-choice equivalence. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AUTH_SESSION_PRIVACY_FAMILY_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-021,ai/chat-doctor,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-022,ai/monthly-report,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/ai/monthly-report.tsx;patient-mobile/app/services/index.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-023,ai/prescription-translator,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/ai-assistant.tsx;patient-mobile/app/services/index.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-024,ai/skin-analysis,BUILD,patient-web/app/api/ai/route.ts;patient-mobile/app/rn_screens.json;patient-mobile/app/ai/skin-analysis.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-025,ai/symptom-checker,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/services/index.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-026,ai/symptom-timeline,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/hooks/usePushNotifications.ts;backend/src/modules/notifications/notifications.service.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-027,ai/triage,BUILD,patient-web/app/api/ai/route.ts;patient-mobile/app/rn_screens.json;patient-mobile/app/ai-assistant.tsx;patient-mobile/app/(tabs)/index.tsx;patient-mobile/app/ai/symptom-timeline.tsx;patient-mobile/app/ai/chat-doctor.tsx;patient-mobile/app/ai/triage.tsx;patient-mobile/app/ai/symptom-checker.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No localized Web AI feature surface/CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/AI_EMERGENCY_WALLET_LOYALTY_RETURNS_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
