surface	journey	journey_definition	static_term_hits	static_presence	runtime_status	required_validation
patient-mobile	Pharmacy	cart → submit order → pharmacy broadcast → offers → selected offer → cash card/COD or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	cart;checkout;pharmacy;order;offer;insurance;cash;refund;delivery	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Consultation	online/clinic/home → doctor → slot → cash or insurance/co-pay → confirmation → reschedule/cancel/no-show/video/report	consult;appointment;booking;doctor;slot;cash;insurance;reschedule;cancel;video;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Labs	home/center → provider → appointment → cash or insurance/co-pay → execution → result/report → PHI protection	lab;booking;insurance;cash;result;report;upload	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Radiology	home/center → provider → appointment → cash or insurance/co-pay → execution → report → PHI protection	radiology;booking;insurance;cash;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Nursing/Home-care	home service → provider/visit → cash or insurance/co-pay → execution → report/cancel	nursing;home-care;visit;insurance;cash;cancel	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Identity/OTP/Roles	login/register → OTP/session → role/ownership boundary → logout/revocation	login;register;otp;auth;session;token;logout;role;permission	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Family/Health	family member → consent/delegation → health record/vitals/maternity/mental health → notification	family;health;vital;maternity;mental;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Prescription/Chat/Support	prescription → upload/read → chat/support/community → notification/result	prescription;chat;support;message;notification;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	wallet;payment;invoice;refund;insurance;copay	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-mobile	Settings/Accessibility/Location	language/RTL → accessibility → map/location/emergency → notifications	settings;language;locale;rtl;accessibility;map;location;emergency;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Pharmacy	cart → submit order → pharmacy broadcast → offers → selected offer → cash card/COD or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	cart;checkout;pharmacy;order;offer;insurance;cash;refund;delivery	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Consultation	online/clinic/home → doctor → slot → cash or insurance/co-pay → confirmation → reschedule/cancel/no-show/video/report	consult;appointment;booking;doctor;slot;cash;insurance;reschedule;cancel;video;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Labs	home/center → provider → appointment → cash or insurance/co-pay → execution → result/report → PHI protection	lab;booking;insurance;cash;result;report;upload	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Radiology	home/center → provider → appointment → cash or insurance/co-pay → execution → report → PHI protection	radiology;booking;insurance;cash;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Nursing/Home-care	home service → provider/visit → cash or insurance/co-pay → execution → report/cancel	nursing;home-care;visit;insurance;cash;cancel	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Identity/OTP/Roles	login/register → OTP/session → role/ownership boundary → logout/revocation	login;register;otp;auth;session;token;logout;role;permission	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
