mobile_file	domain	status	priority	owner	scope	action_markers	navigation_markers	web_route_candidates	evidence_required
(auth)/_layout.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	0	6		live contract + SSR/security test
(auth)/forgot-password.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	3	1		live contract + SSR/security test + full journey test
(auth)/login.tsx	(auth)	PARTIAL_MUTATION_CONTRACT_REQUIRED	P0	Web + Backend	Identity, OTP, registration, guest/session parity	10	7	/[locale]/login	live contract + SSR/security test + full journey test
(auth)/otp.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	4	3		live contract + SSR/security test + full journey test
(auth)/privacy.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	1	0		live contract + SSR/security test + full journey test
(auth)/provider-info.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	2	2		live contract + SSR/security test + full journey test
(auth)/register.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	11	6		live contract + SSR/security test + full journey test
(auth)/reset-password.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	3	1		live contract + SSR/security test + full journey test
(auth)/terms.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	1	0		live contract + SSR/security test + full journey test
(auth)/welcome.tsx	(auth)	MISSING_WEB_SURFACE	P0	Web + Backend	Identity, OTP, registration, guest/session parity	12	8		live contract + SSR/security test + full journey test
(onboarding)/_layout.tsx	(onboarding)	MISSING_WEB_SURFACE	P1	Web	Onboarding, language, permissions	0	3		live contract + SSR/security test
(onboarding)/index.tsx	(onboarding)	MISSING_WEB_SURFACE	P1	Web	Onboarding, language, permissions	2	2		live contract + SSR/security test + full journey test
(onboarding)/language.tsx	(onboarding)	MISSING_WEB_SURFACE	P1	Web	Onboarding, language, permissions	2	1		live contract + SSR/security test + full journey test
(onboarding)/permissions.tsx	(onboarding)	MISSING_WEB_SURFACE	P1	Web	Onboarding, language, permissions	3	1		live contract + SSR/security test + full journey test
(tabs)/_layout.tsx	(tabs)	MISSING_WEB_SURFACE	P0	Web	Primary patient navigation and dashboard	0	0		live contract + SSR/security test
(tabs)/consultations/index.tsx	(tabs)	MISSING_WEB_SURFACE	P0	Web	Primary patient navigation and dashboard	31	8		live contract + SSR/security test + full journey test
(tabs)/diagnostics.tsx	(tabs)	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web	Primary patient navigation and dashboard	21	11	/[locale]/diagnostics	live contract + SSR/security test + full journey test
(tabs)/health.tsx	(tabs)	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web	Primary patient navigation and dashboard	7	9	/[locale]/health	live contract + SSR/security test + full journey test
(tabs)/index.tsx	(tabs)	MISSING_WEB_SURFACE	P0	Web	Primary patient navigation and dashboard	19	19		live contract + SSR/security test + full journey test
(tabs)/nursing.tsx	(tabs)	MISSING_WEB_SURFACE	P0	Web	Primary patient navigation and dashboard	18	2		live contract + SSR/security test + full journey test
(tabs)/pharmacy.tsx	(tabs)	MISSING_WEB_SURFACE	P0	Web	Primary patient navigation and dashboard	16	8		live contract + SSR/security test + full journey test
(tabs)/services.tsx	(tabs)	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web	Primary patient navigation and dashboard	2	2	/[locale]/home-care/services	live contract + SSR/security test + full journey test
_layout.tsx	_layout.tsx	MISSING_WEB_SURFACE	P2	Web + Backend	Needs capability review	2	7		live contract + SSR/security test + full journey test
ai/chat-doctor.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	0	0		live contract + SSR/security test
ai/monthly-report.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	7	5		live contract + SSR/security test + full journey test
ai/prescription-translator.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	10	5		live contract + SSR/security test + full journey test
ai/skin-analysis.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	8	1		live contract + SSR/security test + full journey test
ai/symptom-checker.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	0	0		live contract + SSR/security test
ai/symptom-timeline.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	0	0		live contract + SSR/security test
ai/triage.tsx	ai	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI contracts, guardrails, auditability	8	1		live contract + SSR/security test + full journey test
ai-assistant.tsx	ai-assistant.tsx	MISSING_WEB_SURFACE	P2	Backend + Medical/Safety	AI triage/chat safety	3	2		live contract + SSR/security test + full journey test
articles/[slug].tsx	articles	MISSING_WEB_SURFACE	P1	Web + Backend	Article detail, bookmarks, related content	5	1		live contract + SSR/security test + full journey test
articles/bookmarks.tsx	articles	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Article detail, bookmarks, related content	4	2	/[locale]/articles/bookmarks	live contract + SSR/security test + full journey test
