observation_id	original_f_id	root_id	relation	observation_severity	normalized_severity	workstream	category	owner	source_evidence	finding
F-015#01	F-015	RD-0001	derived-from	P2	P0	catalog/quote	catalog/provenance/publication	Backend	`medicines/page.tsx:44`; `medicines/[medicineId]/page.tsx:61`	Medicine detail links back to `/medicine-catalog` while the list source is `/medicines`, requiring route reconciliation.
F-173#01	F-173	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/users/users.insurance.controller.ts:56–80`; `src/modules/users/users.service.ts:138–157`	Canonical insurance POST merges raw body and returns it with `verified:false`, but `UsersService.updatePatientProfile` editable whitelist does not include `insurance`; the route can therefore report a successful update without persisting the canonical insurance object.
F-217#01	F-217	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/seo.service.ts:60–81`	Slug resolution constructs an unescaped regular expression from user-controlled slug text for fuzzy name lookup; free-form type/slug inputs can trigger unintended matches or expensive queries.
F-218#01	F-218	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/seo.service.ts:83–125`; controller `:26–31`	`meta()` returns the full resolved entity under `entity`, so public SEO metadata can expose fields beyond the intended crawl/share projection, including sensitive or operational catalogue attributes.
F-244#01	F-244	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/timeline/timeline.service.ts:105–121,321–366`; controller `:17–31`	Timeline fans out one query per requested kind, each with its own limit, then loads reminders and expands log entries before final truncation; free-form kinds/limit can amplify database work and produce unstable partial feeds.
F-258#01	F-258	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/referral/referral.service.ts:32–34,47–55,115–128`; `src/schemas/referral.schema.ts:7–48`; module `:1–10`	Referral service persists codes/invites in `users.referral_code` and `referral_invites`, while the declared schemas define separate `referral_codes` and `referral_rewards` collections; uniqueness, lifecycle and reward records are therefore split from the documented model.
F-291#01	F-291	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/bans/bans.schema.ts:18–29`; service `:27–44`	Ban lifecycle has `is_active`/expiry only; no immutable actor/reason/revocation event or evidence of enforcement propagation is retained, weakening incident review and compliance accountability.
F-328#01	F-328	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/insurance/insurance.controller.ts:58–90`	Insurance company and plan responses allow `additionalProperties: true` at both levels, so internal/admin fields can leak and clients lack a stable versioned catalog contract.
F-329#01	F-329	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/insurance/insurance.controller.ts:16–18,53–63,93–97`	Companies catalog is protected by `NoGuestsGuard` despite being described as a single source for multiple app surfaces; the controller itself does not document/cache/freshness/deprecation behavior, risking client divergence and inconsistent accessibility.
F-391#01	F-391	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/admin-web-core/controllers/provider-moderation.controller.ts:62–80`	Approval returns `{success:true, applied}` even when no target account/change exists (`applied=0`) and does not prove downstream indexing, verification, cache or notification synchronization.
F-409#01	F-409	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/i18n/i18n.controller.ts:18–21`	`GET /i18n/all` is public and returns the entire raw translation dictionary for every supported language, exposing internal/admin/provider labels and increasing payload/data-mining surface.
F-412#01	F-412	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/i18n/i18n.service.ts:3–4,731,737`	The backend dictionary supports only Arabic, English and Urdu, while the product contract requires broader locale coverage; absent translations silently default to Arabic.
