claimed_commit,narrative_files,resolution_status,resolved_commit,short_commit,observed_subject,review_boundary
0092458,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,00924580292cb99ff7ba873dca09ed828155a03a,0092458,feat(F-web): loyalty hub — rewards/challenges/leaderboard/referral (parity #22),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
0535f68,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,0535f68d575099e01b857110e951fca11de2cf2e,0535f68,feat(D-web): consultation insurance branch + copay settlement page (parity #11),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
109fd89,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,109fd89393ba99b8599760f5c7974364df5bfaff,109fd89,"docs: PROVIDER_PRODUCTION_PLAN P1-P9 execution record — all gates green, structural fixes, run instructions",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
143c98d,pasted_content_5.txt,RESOLVED,143c98db0661d39564df492ab4b6600fc498b36f,143c98d,"feat(P3): 9 governed provider endpoints (insurance-decision, coverage-decision x3, CRM, referrals/mine, technicians roster, claims actions, reports/inbound, availability round-trip) + shifts PATCH/DELETE — e2e gate 13/13 on live server",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
151dbef,pasted_content_3.txt,RESOLVED,151dbef261a7ecce00749595744467d6b1b1180c,151dbef,feat(C3): patient-web pharmacy governing-rules flow,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
17e22bc,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,17e22bc8970f86ae8f0c8f6611434c65028a78fd,17e22bc,feat(F-web): drug scanner — barcode lookup + interactions (parity #21),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
1d802f4,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,1d802f4f64a7274698a82c043890ec9b15eb6b23,1d802f4,feat(F-web): treatment programs — enroll + complete session (parity #29),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
20c6f2b,pasted_content_4.txt;pasted_content_5.txt,RESOLVED,20c6f2bc2334b4cc5bac655cfdecdbb87777d237,20c6f2b,"feat(A7): command center v2 SSE controller + scheduled reports runner (cron, real aggregation compute, CSV attachment email via Resend/SES, run history)",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
22526be,pasted_content_3.txt,MISSING_OR_NON_COMMIT,,,,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
2610216,pasted_content_3.txt,RESOLVED,26102163a5fa07b73a0a4d5518932515e9e4535a,2610216,feat(C): pharmacy governing-rules engine (PH-PHARMACY),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
265a133,pasted_content_3.txt,RESOLVED,265a133d89c3b084151d801ac10e8cf77cc3d02e,265a133,"feat(segments): dynamic audiences (plan E) — pure DSL→Mongo compiler with privacy fence, preview/count/members endpoints, audit; 6/6 unit tests",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
2c6ccca,pasted_content_3.txt;pasted_content_5.txt,MISSING_OR_NON_COMMIT,,,,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
32064fc,pasted_content_3.txt,RESOLVED,32064fcaf60a68b09cbecfb15f4d5f51729a635b,32064fc,feat(F-web): providers map list + filters (parity #24),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
3b5218f,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,3b5218f4818072ecb9538944bd471e6c8e7cd518,3b5218f,"docs: quality+security gate results — tsc/tests green both apps, audit fixes, explicit remaining decisions",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
3dde1e7,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,3dde1e74aaf5f6b070e45d63aa787a6d367af998,3dde1e7,"feat(F-web): AI tools hub — triage, prescription translation, skin self-check (parity #20)",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
3e9f8e9,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,3e9f8e9dd3dfd2973a02a4dfbca76bcb5027c355,3e9f8e9,"feat(A1): security foundation — role hierarchy (super_admin⊇admin), dynamic RBAC, real disputes engine, shared audit service, reason enforcement",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
3f319d0,pasted_content_3.txt,RESOLVED,3f319d06d04b672b9d863cf736d09266933a204c,3f319d0,fix(P1): server-side temp credentials + ownership field fix in hospital-staff (parent_account_id read bug),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
3f3c288,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,3f3c288f52639c13b36d5a00e15393f6ec700fc7,3f3c288,docs: WEB PARITY batch-1 record (parity #11 + #12) and agent-collision warning,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
4194495,pasted_content_3.txt,RESOLVED,4194495b9378ad5f2c24414a6344c9233b03bd7c,4194495,chore: seed workstation from main@22526be (cleaned source only),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
42a52cc,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,42a52cccb14e3cdec10ba8913425acb31adc70e2,42a52cc,feat(E-web): labs/radiology/nursing web booking per PH-SERVICE,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
4f4cbec,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,4f4cbec39f9971c7f28c541309c9317a28e063be,4f4cbec,fix(E-mobile): nursing funnel follows the real PH-SERVICE paths,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
51a84c7,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,51a84c76a690f30baac8b4bb3df6ab575aad4520,51a84c7,feat(go-gate#2): mail smoke tool — one command proves key+domain+CSV attachment over the production Resend→SES path,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
5412d5c,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,5412d5ca2b7eed166c196292aa42610458ba9e21,5412d5c,fix(J/X2): production compose actually boots now,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
55659a8,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,55659a822200b80fbe5376038db2662e8184df98,55659a8,feat(G): wallet payment for selected pharmacy offer (atomic guarded debit),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
