journey_id	domain	mobile_screen	primary_action	mobile_api_evidence	web_surface	web_status	required_proof	mobile_endpoint_refs	web_code_reference_hits	web_code_hit_count	evidence_status	required_acceptance
J-001	(auth)	(auth)/login.tsx	mutation	import { apiFetch, storeAuthSession } from '../../src/utils/api'; | scopes: ['https://auth.snapchat.com/oauth2/api/user.display_name'], | /auth/social-login	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | //auth.snapchat.com/oauth2/api/user.display_name | /auth/social-login		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-002	(auth)	(auth)/otp.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /auth/verify-otp | /auth/register	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /auth/verify-otp | /auth/register		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-003	(auth)	(auth)/register.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | scopes: ['https://auth.snapchat.com/oauth2/api/user.display_name'], | /auth/social-login	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | //auth.snapchat.com/oauth2/api/user.display_name | /auth/social-login		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-004	(auth)	(auth)/privacy.tsx	read	${BASE_URL}/legal/policy/privacy_policy?lang=${AR ? 	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/legal/policy/privacy_policy		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-005	(auth)	(auth)/terms.tsx	read	${BASE_URL}/legal/policy/patient_terms?lang=${AR ? 	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/legal/policy/patient_terms		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-006	(auth)	(auth)/welcome.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /auth/guest	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /auth/guest		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-007	(tabs)	(tabs)/index.tsx	read	import { apiFetch } from '../../src/utils/api'; | /nutrition/daily-summary | /home/upcoming-appointment	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /nutrition/daily-summary | /home/upcoming-appointment	/home/upcoming-appointment	1	WEB_CODE_REFERENCE_ONLY	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-008	(tabs)	(tabs)/health.tsx	read	"import { apiFetch } from ""../../src/utils/api""; | /health/vitals/summary | /health/score"	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /health/vitals/summary | /health/score	/health/vitals/summary | /health/score	2	WEB_CODE_REFERENCE_ONLY	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-009	(tabs)	(tabs)/pharmacy.tsx	read	import { apiFetch, BASE_URL } from '../../src/utils/api'; | /medicines/categories | const data = await apiFetch(ep);	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /medicines/categories		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
J-010	consultations	consultations/booking-confirm.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /insurance/companies | /insurance/companies/${insCompany}/networks	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	/../src/utils/api | /insurance/companies | /insurance/companies/${insCompany}/networks		0	NO_WEB_CODE_REFERENCE_FOUND	live method/path ; payload/DTO ; server-only auth boundary ; owner/stranger/unauth ; error/retry/empty ; cleanup/idempotency when mutation
