screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
app.json	identity/session	source/config	"43: ""apiBaseUrl"": ""https://api.nabd.plus/api/v1"" || 23: ""permissions"": ["	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
tsconfig.json	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
App.tsx	pharmacy/orders	source/config	"16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens'; || 17: import { PendingDashboard } from './src/screens/auth/PendingDashboard'; || 18: import { DoctorRegistration }         from './src/screens/doctor/DoctorRegistration'; || 19: import { DoctorDashboardNavigator }   from './src/screens/doctor/DoctorDashboard'; || 20: import { FacilityRegistration }       from './src/screens/facility/FacilityRegistration'; || 21: import { FacilityDashboardNavigator } from './src/screens/facility/FacilityDashboard'; || 22: import { PharmacyRegistration }       from './src/screens/pharmacy/PharmacyRegistration'; || 23: import { PharmacyDashboardNavigator } from './src/screens/pharmacy/PharmacyDashboard'; || 24: import { LabRegistration }           from './src/screens/lab/LabRegistration'; || 25: import { LabDashboardNavigator }     from './src/screens/lab/LabDashboard'; || 26: import { RadiologyRegistration }     from './src/screens/radiology/RadiologyRegistration'; || 27: import { RadiologyDashboardNavigator } from './src/screens/radiology/RadiologyDashboard'; || 4: * Phase 0-5: Doctor + Facility + Pharmacy + Lab/Radiology + Nursing || 16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens'; || 17: import { PendingDashboard } from './src/screens/auth/PendingDashboard'; || 22: import { PharmacyRegistration }       from './src/screens/pharmacy/PharmacyRegistration'; || 23: import { PharmacyDashboardNavigator } from './src/screens/pharmacy/PharmacyDashboard'; || 26: import { RadiologyRegistration }     from './src/screens/radiology/RadiologyRegistration'; || 27: import { RadiologyDashboardNavigator } from './src/screens/radiology/RadiologyDashboard'; || 28: import { NursingRegistration }       from './src/screens/nursing/NursingRegistration'; || 29: import { NursingDashboardNavigator } from './src/screens/nursing/NursingDashboard'; || 103: import { PharmacyChatResponder } from ""./src/screens/shared/PharmacyChatResponder""; || 15: import { RootProvider, useAuth, useTheme } from './src/context'; || 16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens';"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package.json	consultation/booking	source/config	"26: ""axios-retry"": ""^4.5.0"", || 45: ""expo-router"": ""~6.0.24"", || 47: ""expo-splash-screen"": ""~31.0.13"", || 57: ""react-native-screens"": ""~4.16.0"", || 25: ""axios"": ""^1.7.9"", || 26: ""axios-retry"": ""^4.5.0"", || 63: ""socket.io-client"": ""^4.8.3"", || 72: ""axios-mock-adapter"": ""^2.1.0"", || 26: ""axios-retry"": ""^4.5.0"", || 48: ""expo-status-bar"": ""~3.0.9"", || 26: ""axios-retry"": ""^4.5.0"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package-lock.json	consultation/booking	source/config	"23: ""axios-retry"": ""^4.5.0"", || 42: ""expo-router"": ""~6.0.24"", || 44: ""expo-splash-screen"": ""~31.0.13"", || 54: ""react-native-screens"": ""~4.16.0"", || 1514: ""@urql/exchange-retry"": ""^1.3.0"", || 1564: ""expo-router"": ""*"", || 1568: ""expo-router"": { || 5121: ""react-native-screens"": "">= 4.0.0"" || 5129: ""@react-navigation/routers"": ""^7.6.4"", || 5196: ""react-native-screens"": "">= 4.0.0"" || 5199: ""node_modules/@react-navigation/routers"": { || 5201: ""resolved"": ""https://registry.npmjs.org/@react-navigation/routers/-/routers-7.6.4.tgz"", || 22: ""axios"": ""^1.7.9"", || 23: ""axios-retry"": ""^4.5.0"", || 60: ""socket.io-client"": ""^4.8.3"", || 69: ""axios-mock-adapter"": ""^2.1.0"", || 78: ""node_modules/@0no-co/graphql.web"": { || 80: ""resolved"": ""https://registry.npmjs.org/@0no-co/graphql.web/-/graphql.web-1.3.3.tgz"", || 83: ""graphql"": ""^14.0.0 || ^15.0.0 || ^16.0.0"" || 86: ""graphql"": { || 1494: ""@0no-co/graphql.web"": ""^1.0.8"", || 2583: ""node_modules/@firebase/auth"": { || 2585: ""resolved"": ""https://registry.npmjs.org/@firebase/auth/-/auth-1.13.3.tgz"", || 2606: ""node_modules/@firebase/auth-compat"": {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
provider-app.contracts.test.js	pharmacy/orders	test	"6: const dashboard = fs.readFileSync(path.join(root, 'src/screens/doctor/DoctorDashboard.tsx'), 'utf8'); || 7: const pharmacyDashboard = fs.readFileSync(path.join(root, 'src/screens/pharmacy/PharmacyDashboard.tsx'), 'utf8'); || 8: const radiologyDashboard = fs.readFileSync(path.join(root, 'src/screens/radiology/RadiologyDashboard.tsx'), 'utf8'); || 17: ].map(file => fs.readFileSync(path.join(root, 'src/screens', file), 'utf8')).join('\n'); || 7: const pharmacyDashboard = fs.readFileSync(path.join(root, 'src/screens/pharmacy/PharmacyDashboard.tsx'), 'utf8'); || 8: const radiologyDashboard = fs.readFileSync(path.join(root, 'src/screens/radiology/RadiologyDashboard.tsx'), 'utf8'); || 13: 'pharmacy/PharmacyRegistration.tsx', || 15: 'radiology/RadiologyRegistration.tsx', || 16: 'nursing/NursingRegistration.tsx', || 21: expect(config.extra.apiBaseUrl).toBe('https://api.nabd.plus/api/v1'); || 42: it('does not ship fake pharmacy/radiology terminal actions', () => { || 45: expect(pharmacyDashboard).toContain(""client.get('/provider/pharmacy/broadcasts')""); || 46: expect(pharmacyDashboard).toContain('/provider/pharmacy/orders/${orderId}/accept'); || 47: expect(pharmacyDashboard).toContain('/provider/pharmacy/broadcasts/${rejectOrderId}/reject'); || 48: expect(pharmacyDashboard).not.toContain('/pharmacy/orders/${rejectOrderId}/reject'); || 49: expect(pharmacyDashboard).toContain(""client.get('/provider/pharmacy/allocations', { params: { status: 'completed' } })""); || 32: expect(dashboard).toContain('const patientId = apt?.patient_id'); || 35: it('contains real provider intake actions and refreshes after mutations', () => { || 36: expect(dashboard).toContain('/provider/jobs/queue?status=incoming&kind=consultation'); || 49: expect(pharmacyDashboard).toContain(""client.get('/provider/pharmacy/allocations', { params: { status: 'completed' } })""); || 58: expect(pharmacyDashboard).not.toContain('const [isOnline, setIsOnline] = useState(true);'); || 64: expect(dashboard).toContain('setError(true);'); || 31: expect(dashboard).not.toMatch(/price\s*:\s*x\.total\s*\|\|\s*150/); || 61: it('does not mark cash collection or begin a consultation in the doctor UI without a server mutation', () => {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/polyfills.ts	consultation/booking	source/config	7: class DOMExceptionPolyfill extends Error { || 11: this.name = name || 'Error'; || 7: class DOMExceptionPolyfill extends Error { || 11: this.name = name || 'Error';	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/constants/index.ts	pharmacy/orders	source/config	303: SESSION_MIN: 30, LOGIN_MAX_TRIES: 5, LOGIN_LOCK_MIN: 15, || 329: login:'تسجيل الدخول', register:'إنشاء حساب', logout:'تسجيل الخروج', || 348: next:'التالي', back:'رجوع', save:'حفظ', cancel:'إلغاء', confirm:'تأكيد', || 349: delete:'حذف', edit:'تعديل', add:'إضافة', send:'إرسال', submit:'إرسال للمراجعة', || 350: close:'إغلاق', done:'تم', skip:'تخطي', retry:'إعادة المحاولة', search:'بحث...', || 367: confirmLogout:'هل تريد تسجيل الخروج؟', || 386: login:'Log In', register:'Create Account', logout:'Log Out', || 388: rememberMe:'Remember Me', biometric:'Login with Face ID / Fingerprint', || 401: next:'Next', back:'Back', save:'Save', cancel:'Cancel', confirm:'Confirm', || 402: delete:'Delete', edit:'Edit', add:'Add', send:'Send', submit:'Submit for Review', || 403: close:'Close', done:'Done', skip:'Skip', retry:'Retry', search:'Search...', || 413: confirmLogout:'Are you sure you want to log out?', || 440: ? (envApiUrl.endsWith('/api/v1') ? envApiUrl : `${envApiUrl.replace(/\/$/, '')}/api/v1`) || 442: ? `http://${localIp}:8002/api/v1` || 443: : 'https://api.nabd.plus/api/v1'; || 219: { id:'inject', ar:'إعطاء حقن طبية', en:'Injection Administration',min:15 }, || 302: OTP_RESEND_SEC: 60, OTP_MAX_TRIES: 5, || 303: SESSION_MIN: 30, LOGIN_MAX_TRIES: 5, LOGIN_LOCK_MIN: 15, || 329: login:'تسجيل الدخول', register:'إنشاء حساب', logout:'تسجيل الخروج', || 330: forgotPass:'نسيت كلمة المرور؟', resetPass:'استعادة كلمة المرور', || 339: // OTP || 340: otpTitle:'التحقق من الهوية', otpSentTo:'تم إرسال رمز التحقق إلى', || 341: otpResend:'إعادة الإرسال', otpVerify:'تحقق', || 367: confirmLogout:'هل تريد تسجيل الخروج؟',	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/screens/lab/LabRegistration.tsx	diagnostics/homecare	ui/screen	"21: import { RegistrationSuccess } from '../shared/SharedScreens'; || 26: import { SuccessScreen } from '../../components/SuccessScreen'; || 127: const screens: Record<number, React.ReactElement> = { || 128: 8: <SuccessScreen onDone={() => { setShowSuccess(false); onDone(); }} />, || 137: return screens[step] ?? null; || 190: await ProviderApi.login(data.managerPhone, data.password); || 194: await ProviderApi.login(data.managerPhone, data.password); || 196: } catch (loginErr: any) { || 212: {/* Center Type Removed (Auto-detected from Welcome Screen) */} || 220: returnKey=""next"" onSubmit={() => nameEnRef.current?.focus()} || 228: returnKey=""next"" onSubmit={() => mgrNameRef.current?.focus()} || 239: returnKey=""next"" onSubmit={() => emailRef.current?.focus()} || 9: import { ProviderApi, sanitizeWizardData } from '../../api/provider'; || 10: import { useInsuranceCatalog, useServicesCatalog } from '../../api/catalogs'; || 25: import { sendEmailOtp, verifyEmailOtp } from '../../api/otp'; || 344: // Custom validation for Lab/Radiology separation || 490: hint={AR ? 'ترخيص المعمل/مركز الأشعة من MOH' : 'Lab/Radiology license from MOH'} /> || 24: import { OtpModal } from '../../components/OtpModal'; || 25: import { sendEmailOtp, verifyEmailOtp } from '../../api/otp'; || 78: signatureData: string; signerName: string; signerRole: string; || 100: signatureData: '', signerName: '', signerRole: '', || 134: 6: <LStep7AdminWarning data={data} update={update} onNext={next} onBack={back} step={step} total={TOTAL} />, || 190: await ProviderApi.login(data.managerPhone, data.password); || 194: await ProviderApi.login(data.managerPhone, data.password);"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/screens/lab/LabDashboard.tsx	pharmacy/orders	ui/screen	2: * NABDAH PLUS – PHASE 4 · LAB & RADIOLOGY DASHBOARD (18 screens) || 13: import { InsuranceRequestsScreen } from '../shared/InsuranceRequestsScreen'; || 24: PromotionsDashboard, CreateCampaignScreen, ProfileWebConfig, || 26: LabSampleScannerScreen || 27: } from '../shared/BlueprintScreens'; || 28: import { MedicalJobsScreen, MedicalDrugIndexScreen, InsuranceConfigScreen, CertificatesConfigScreen, MediaConfigScreen, ProviderWalletScreen, ProviderHomeStats, GlobalSystemSettings, ChatSystem } from '../shared/SharedScreens'; || 29: import { WorkingHoursEditorScreen, SecurityManagementScreen } from '../shared/RealScreens'; || 30: import { LabBundlesScreen, LabHomeServiceScreen } from '../shared/RealScreensExtended'; || 66: if (subTab === 'results') return orders.filter(o => ['RESULT_UPLOADED'].includes(o.status)); || 79: <TouchableOpacity onPress={() => setSubTab('incoming')} style={{ paddingVertical: SP.md, borderBottomWidth: 2, borderBottomColor: subTab === 'incoming' ? theme.primary : 'transparent' }}> || 82: <TouchableOpacity onPress={() => setSubTab('scheduled')} style={{ paddingVertical: SP.md, borderBottomWidth: 2, borderBottomColor: subTab === 'scheduled' ? theme.primary : 'transparent' }}> || 85: <TouchableOpacity onPress={() => setSubTab('processing')} style={{ paddingVertical: SP.md, borderBottomWidth: 2, borderBottomColor: subTab === 'processing' ? theme.primary : 'transparent' }}> || 12: import client from '../../api/client'; || 13: import { InsuranceRequestsScreen } from '../shared/InsuranceRequestsScreen'; || 56: client.get('/labs/provider/inbox') || 224: const inboxRes = await client.get('/labs/provider/inbox'); || 241: const resSamples = await client.get('/labs/samples'); || 373: await client.patch(`/labs/bookings/${order.id}/state`, { state: 'SAMPLE_REJECTED' }); || 383: await client.patch(`/labs/bookings/${order.id}/state`, { state: 'WAITING_COPAY', note: `nphies_code: ${nphiesCode}, copay: ${copay}` }); || 397: await client.patch(`/labs/bookings/${order.id}/state`, { state: 'CONFIRMED' }); || 410: await client.post(`/labs/bookings/${order.id}/assign-technician`, { technician_id: techName }); || 425: await client.patch(`/labs/bookings/${order.id}/reschedule`, { new_date: rescheduleDate, reason: 'Provider Reschedule' }); || 440: await client.patch(`/labs/bookings/${order.id}/state`, { state: 'PROCESSING', note: `Barcode: ${barcode}. ${notes}` }); || 614: const res = await client.get('/labs/samples');	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
