screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
google-services.json	identity/session	client/state/service		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app.json	identity/session	source/config	"103: ""expo-router"", || 135: ""expo-splash-screen"", || 146: ""typedRoutes"": true || 54: ""permissions"": [ || 55: ""android.permission.CAMERA"", || 56: ""android.permission.READ_EXTERNAL_STORAGE"", || 57: ""android.permission.WRITE_EXTERNAL_STORAGE"", || 58: ""android.permission.ACCESS_FINE_LOCATION"", || 59: ""android.permission.ACCESS_COARSE_LOCATION"", || 60: ""android.permission.RECORD_AUDIO"", || 61: ""android.permission.USE_FINGERPRINT"", || 62: ""android.permission.USE_BIOMETRIC"", || 63: ""android.permission.VIBRATE"", || 64: ""android.permission.RECEIVE_BOOT_COMPLETED"", || 65: ""android.permission.POST_NOTIFICATIONS"", || 64: ""android.permission.RECEIVE_BOOT_COMPLETED"", || 69: ""android.permission.READ_PHONE_STATE"", || 142: ""expo-status-bar"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
babel.config.js	catalog/discovery	config/build	8: // or a duplicate-plugin error. The preset handles it. || 8: // or a duplicate-plugin error. The preset handles it.	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
docker-compose.yml	catalog/discovery	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
tsconfig.json	catalog/discovery	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
eas.json	cross-surface	source/config	"13: ""submit"": { ""production"": {} }"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
metro.config.js	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
README.md	family/health	source/config	41: | `expo-router` | `~4.0.20` ← v4 NOT v5 | || 63: ### 📱 141 Screens across 27 feature groups || 27: The error `Cannot find module 'react-native-worklets/plugin'` was caused by: || 27: The error `Cannot find module 'react-native-worklets/plugin'` was caused by:	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
eslint.config.js	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
.detoxrc.js	cross-surface	source/config	9: setupTimeout: 120000	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package.json	consultation/booking	source/config	"4: ""main"": ""expo-router/entry"", || 56: ""expo-router"": ""~57.0.14"", || 59: ""expo-splash-screen"": ""~57.0.7"", || 86: ""react-native-screens"": ""~4.26.0"", || 29: ""axios"": ""^1.7.9"", || 94: ""socket.io-client"": ""^4.8.3"", || 37: ""expo-auth-session"": ""~57.0.7"", || 127: ""tough-cookie"": ""^4.1.3"", || 139: ""tough-cookie"": ""^4.1.3"", || 61: ""expo-status-bar"": ""~57.0.1"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
GoogleService-Info.plist	catalog/discovery	client/state/service		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package-lock.json	consultation/booking	source/config	"48: ""expo-router"": ""~57.0.14"", || 51: ""expo-splash-screen"": ""~57.0.7"", || 78: ""react-native-screens"": ""~4.26.0"", || 1584: ""@expo/router-server"": ""^57.0.6"", || 1632: ""expo-router"": ""*"", || 1636: ""expo-router"": { || 2216: ""node_modules/@expo/router-server"": { || 2218: ""resolved"": ""https://registry.npmjs.org/@expo/router-server/-/router-server-57.0.6.tgz"", || 2228: ""expo-router"": ""*"", || 2238: ""expo-router"": { || 2400: ""@humanwhocodes/retry"": ""^0.4.0"" || 2430: ""node_modules/@humanwhocodes/retry"": { || 21: ""axios"": ""^1.7.9"", || 86: ""socket.io-client"": ""^4.8.3"", || 1392: ""node_modules/@emnapi/core"": { || 1394: ""resolved"": ""https://registry.npmjs.org/@emnapi/core/-/core-1.10.0.tgz"", || 1400: ""@emnapi/wasi-threads"": ""1.2.1"", || 1404: ""node_modules/@emnapi/runtime"": { || 1406: ""resolved"": ""https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.10.0.tgz"", || 1415: ""node_modules/@emnapi/wasi-threads"": { || 1417: ""resolved"": ""https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.1.tgz"", || 3335: ""@emnapi/core"": ""^1.7.1"", || 3336: ""@emnapi/runtime"": ""^1.7.1"" || 4831: ""node_modules/@socket.io/component-emitter"": {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
jest.config.js	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
Dockerfile	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/authGuestPolicy.test.ts	identity/session	test	15: expect(source).not.toContain('guestLogin('); || 14: expect(source).not.toContain('/auth/guest'); || 5: it('does not invoke the legacy guest endpoint or restore guest sessions from app entry points', () => { || 15: expect(source).not.toContain('guestLogin(');	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/index.tsx	identity/session	ui/screen	"5: import { router } from ""expo-router""; || 29: router.replace(""/(auth)/welcome""); || 31: router.replace(""/(tabs)""); || 34: router.replace(""/(auth)/welcome""); || 24: // Preserve authenticated and guest sessions; the splash must never clear patient data. || 25: const token = await SecureStore.getItemAsync(STORAGE_KEYS.AUTH_TOKEN).catch(() => null); || 28: if (!token && !isGuest) { || 18: const t = setTimeout(checkAppState, 2600); // let logo animation play || 22: const checkAppState = async () => { || 18: const t = setTimeout(checkAppState, 2600); // let logo animation play || 19: return () => clearTimeout(t); || 25: const token = await SecureStore.getItemAsync(STORAGE_KEYS.AUTH_TOKEN).catch(() => null); || 33: } catch {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
