surface	source_path	line	signal	snippet	classification	required_disposition
patient-mobile	jest.config.js	8	mock	'@react-native-async-storage/async-storage': '@react-native-async-storage/async-storage/jest/async-storage-mock',	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/rn_screens.json	543	sample	"""file"": ""diagnostics/sample-tracking.tsx"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/rn_screens.json	547	sample	"""file"": ""diagnostics/book-sample.tsx"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/ai-assistant.tsx	138	placeholder	"placeholder=""اكتب استفسارك الطبي..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/support/chat.tsx	242	placeholder	"placeholder=""اكتب رسالتك..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/community/hub.tsx	249	placeholder	"placeholder=""اكتب استفسارك أو تجربتك الصحية للمجتمع الطبي..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/community/post-detail.tsx	274	placeholder	"placeholder=""أضف تعليقاً..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/profile/insurance.tsx	260	placeholder	"placeholder=""رقم الوثيقة"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/profile/insurance.tsx	268	placeholder	"placeholder=""رقم العضوية (اختياري)"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/loyalty/referrals.tsx	210	placeholder	"placeholder=""أدخل كود الإحالة"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
