domain	mobile_files	files_with_actions	files_with_navigation	files_with_mutation_methods	web_name_candidates	missing_web_surface_candidates	partial_mutation_contract	partial_action_proof	read_contract_proof	journeys	blocked_or_deferred_journeys
(auth)	10	9	8	6	1	9	1	0	0	9	0
(onboarding)	4	3	4	0	0	4	0	0	0	3	0
(tabs)	8	7	7	0	3	5	0	3	0	4	1
_layout.tsx	1	1	1	1	0	1	0	0	0	0	0
ai	7	4	4	3	0	7	0	0	0	0	0
ai-assistant.tsx	1	1	1	0	0	1	0	0	0	0	0
articles	3	3	3	1	1	2	0	1	0	2	0
community	2	2	1	2	0	2	0	0	0	1	0
consultations	28	25	24	7	1	27	0	1	0	8	8
delivery	1	1	1	0	0	1	0	0	0	0	0
diagnostics	20	15	15	3	4	16	0	3	1	0	0
drug-scanner	1	1	1	1	0	1	0	0	0	0	0
emergency	4	3	3	2	1	3	0	1	0	0	0
family	12	10	5	6	2	10	1	1	0	7	7
health	26	20	14	10	7	19	2	4	1	10	0
index.tsx	1	0	1	0	0	1	0	0	0	0	0
insurance	13	12	9	5	0	13	0	0	0	2	2
loyalty	5	5	1	4	0	5	0	0	0	0	0
map	1	1	1	0	0	1	0	0	0	0	0
maternity	7	2	2	1	0	7	0	0	0	0	0
mental-health	8	3	2	2	2	6	0	0	2	4	0
notifications	1	1	1	1	0	1	0	0	0	1	0
nursing	4	4	4	1	0	4	0	0	0	0	0
nutrition	13	4	4	3	0	13	0	0	0	2	2
offers	2	2	2	0	0	2	0	0	0	0	0
orders	1	1	1	0	0	1	0	0	0	0	0
payments	4	4	4	1	0	4	0	0	0	0	0
pharmacy	22	21	20	12	3	19	2	1	0	11	11
profile	4	3	1	2	1	3	1	0	0	0	0
programs	1	1	1	1	0	1	0	0	0	0	0
reports	5	4	3	0	0	5	0	0	0	1	0
returns	3	3	2	1	0	3	0	0	0	0	0
reviews	1	1	0	1	0	1	0	0	0	0	0
room	1	1	1	0	0	1	0	0	0	0	0
s	1	0	1	0	0	1	0	0	0	0	0
search	1	1	1	0	0	1	0	0	0	1	0
services	1	1	1	0	0	1	0	0	0	0	0
settings	12	10	4	4	1	11	0	0	1	3	0
shared	1	1	0	1	0	1	0	0	0	0	0
support	2	2	1	1	1	1	1	0	0	1	0
voice	1	1	1	0	0	1	0	0	0	0	0
wallet	5	5	2	4	0	5	0	0	0	2	2
wearables	1	1	0	1	0	1	0	0	0	0	0
