commit,short_commit,subject_claim,added_lines,deleted_lines,added_file_count,modified_file_count,static_scope_observed,static_construct_evidence,changed_paths,assessment,boundary
bcbfcbf8a5ec7a31a62ffab465813b760d5bbbfd,bcbfcbf,feat(A): decisions locked + shared-contracts state machines + CI skeleton,267,0,5,0,shared_contracts;ci_or_deployment_config;documentation,,A	.github/workflows/ci.yml;A	DECISIONS_LOCKED.md;A	packages/shared-contracts/package.json;A	packages/shared-contracts/src/index.ts;A	packages/shared-contracts/src/state-machines.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
612c84a0d764c6f3636bd874cd194e509bfbea67,612c84a,fix(B): close 20 critical security holes across backend/mobile/web,478,63,1,27,backend_source;web_bff_routes;mobile_ui,,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/chat/chat.gateway.ts;M	backend/src/modules/insurance-engine/insurance-engine.module.ts;M	backend/src/modules/moyasar/moyasar.module.ts;M	backend/src/modules/nabd-extensions/nabd-extensions.controller.ts;M	backend/src/modules/payments/paymob.controller.ts;M	backend/src/modules/payments/paymob.service.ts;M	backend/src/modules/provider-ops/provider-ops.module.ts;M	backend/src/modules/unified-bookings/unified-bookings.module.ts;M	backend/src/modules/unified-bookings/unified-bookings.service.ts;M	backend/src/schemas/slot-lock.schema.ts;M	patient-mobile/app/(auth)/otp.tsx;M	patient-mobile/app/payments/success.tsx;M	patient-mobile/app/settings/index.tsx;M	patient-mobile/src/utils/api.ts;M	patient-web/app/api/appointments/[appointmentId]/cancel/route.ts;M	patient-web/app/api/appointments/[appointmentId]/payment-intent/route.ts;M	patient-web/app/api/appointments/[appointmentId]/reschedule/route.ts;M	patient-web/app/api/appointments/book/route.ts;M	patient-web/app/api/auth/login/route.ts;M	patient-web/app/api/auth/logout/route.ts;M	patient-web/app/api/auth/otp/request/route.ts;M	patient-web/app/api/auth/otp/verify/route.ts;M	patient-web/app/api/auth/session/exchange/route.ts;M	patient-web/app/api/auth/session/route.ts;M	patient-web/app/api/auth/verify-2fa/route.ts;A	patient-web/lib/api/csrf.ts;M	patient-web/proxy.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
26102163a5fa07b73a0a4d5518932515e9e4535a,2610216,feat(C): pharmacy governing-rules engine (PH-PHARMACY),447,27,1,7,backend_source;mobile_ui,,M	backend/src/modules/payments/payments.module.ts;M	backend/src/modules/pharmacy/pharmacy.controllers.ts;M	backend/src/modules/pharmacy/schemas/pharmacy.schema.ts;M	backend/src/modules/pharmacy/services/pharmacy-broadcast.service.ts;M	backend/src/modules/pharmacy/services/pharmacy-order.service.ts;M	patient-mobile/app/pharmacy/checkout.tsx;A	patient-mobile/app/pharmacy/offers.tsx;M	patient-mobile/app/pharmacy/payment.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
151dbef261a7ecce00749595744467d6b1b1180c,151dbef,feat(C3): patient-web pharmacy governing-rules flow,286,0,8,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/pharmacy/offers/page.tsx;A	patient-web/app/[locale]/pharmacy/pay/page.tsx;A	patient-web/app/[locale]/pharmacy/select/page.tsx;A	patient-web/app/api/pharmacy/orders/[orderId]/cod/route.ts;A	patient-web/app/api/pharmacy/orders/[orderId]/offers/route.ts;A	patient-web/app/api/pharmacy/orders/[orderId]/select-offer/route.ts;A	patient-web/app/api/pharmacy/orders/route.ts;A	patient-web/lib/api/pharmacy-flow.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
b0bd5efb7f66de099888fd13e950c067eec34481,b0bd5ef,feat(D): consultations insurance branch per PH-SERVICE governing rules,35,6,0,3,backend_source,,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/insurance-engine/insurance-engine.module.ts;M	backend/src/schemas/appointment.schema.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
fd61a0961d88d36251b13cd0b3d9f53a8b6c0464,fd61a09,docs: execution handoff (done E-next map),34,0,1,0,documentation,,A	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
74826b3ee6074ea08aa168c386f00fadea61965e,74826b3,feat(E): labs/radiology booking funnel + unified coverage mirrors (PH-SERVICE),228,2,1,3,backend_source;mobile_ui,,M	backend/src/modules/insurance-engine/insurance-engine.module.ts;A	patient-mobile/app/diagnostics/book.tsx;M	patient-mobile/app/diagnostics/package-detail.tsx;M	patient-mobile/app/diagnostics/test-detail.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
42a52cccb14e3cdec10ba8913425acb31adc70e2,42a52cc,feat(E-web): labs/radiology/nursing web booking per PH-SERVICE,144,0,2,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/labs/book/page.tsx;A	patient-web/app/api/bookings/[kind]/route.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
623742942ed1355abc7683517bbc9827d5d704d8,6237429,"feat(F): family bookings verified, GDPR export live, data-rights buttons wired",52,7,0,4,backend_source;mobile_ui,,M	backend/src/modules/care/appointments.service.ts;M	backend/src/modules/users/users.controller.ts;M	backend/src/schemas/appointment.schema.ts;M	patient-mobile/app/settings/data.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
5412d5ca2b7eed166c196292aa42610458ba9e21,5412d5c,fix(J/X2): production compose actually boots now,40,6,0,1,backend_source;ci_or_deployment_config,,M	backend/docker-compose.prod.yml,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
