id	surface	severity	relation	category	source_path	line	actor	journey	finding	accepted_test
0D-PATIENT-WEB-00254	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	client/public/__manus__/debug-collector.js	466	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: return originalFetch(input, init);	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00255	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	client/src/main.tsx	65	patient/anonymous	cross-surface	client calls an endpoint or method that requires live contract reconciliation. Static signal: fetch(input, init) {	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00256	patient-web	P0	UNIQUE_DEFECT	security/privacy	client/src/_core/hooks/useAuth.ts	54	patient/anonymous	identity/session	client-side token persistence or raw token propagation requires secure session boundary. Static signal: localStorage.setItem(	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00257	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	client/src/_core/hooks/useAuth.ts	95	patient/anonymous	identity/session	client calls an endpoint or method that requires live contract reconciliation. Static signal: refresh: () => meQuery.refetch(),	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00258	patient-web	P0	UNIQUE_DEFECT	security/privacy	client/src/contexts/ThemeContext.tsx	41	patient/anonymous	cross-surface	"client-side token persistence or raw token propagation requires secure session boundary. Static signal: localStorage.setItem(""theme"", theme);"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00259	patient-web	P0	UNIQUE_DEFECT	security/privacy	client/src/components/Map.tsx	89	patient/anonymous	cross-surface	hard-coded secret/token or bearer credential exposed in client source. Static signal: const API_KEY = import.meta.env.VITE_FRONTEND_FORGE_API_KEY;	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00260	patient-web	P0	UNIQUE_DEFECT	security/privacy	client/src/components/DashboardLayout.tsx	52	patient/anonymous	cross-surface	client-side token persistence or raw token propagation requires secure session boundary. Static signal: localStorage.setItem(SIDEBAR_WIDTH_KEY, sidebarWidth.toString());	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00261	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	scripts/verify-sandbox-notification-fields.mjs	21	patient/anonymous	identity/session	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const login = await fetch(`${baseUrl}/auth/login`, { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify({ identifier, password }), signal: AbortSignal.timeout(12_000) });"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00262	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	scripts/verify-sandbox-vitals-fields.mjs	14	patient/anonymous	identity/session	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const login = await fetch(`${baseUrl}/auth/login`, { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify({ identifier, password }), signal: AbortSignal.timeout(12_000) });"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
0D-PATIENT-WEB-00263	patient-web	P1	RUNTIME_VERIFICATION_REQUIRED	contract/transport	scripts/verify-sandbox-family-fields.mjs	21	patient/anonymous	identity/session	"client calls an endpoint or method that requires live contract reconciliation. Static signal: const login = await fetch(`${baseUrl}/auth/login`, { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify({ identifier, password }), signal: AbortSignal.timeout(12_000) });"	For UNIQUE_DEFECT: reproduce with a contract-backed negative test and remediate. For RUNTIME_VERIFICATION_REQUIRED/INSUFFICIENT_EVIDENCE: trace CTA→API/socket→handler/DB/state and run owner/stranger/unauth plus error/loading/empty/retry/cancel tests before classification or closure.
