journey_id	domain	mobile_screen	primary_action	mobile_api_evidence	web_surface	web_status	required_proof	audit_status
J-001	(auth)	(auth)/login.tsx	mutation	import { apiFetch, storeAuthSession } from '../../src/utils/api'; | scopes: ['https://auth.snapchat.com/oauth2/api/user.display_name'], | /auth/social-login	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-002	(auth)	(auth)/otp.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /auth/verify-otp | /auth/register	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-003	(auth)	(auth)/register.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | scopes: ['https://auth.snapchat.com/oauth2/api/user.display_name'], | /auth/social-login	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-004	(auth)	(auth)/privacy.tsx	read	${BASE_URL}/legal/policy/privacy_policy?lang=${AR ? 	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-005	(auth)	(auth)/terms.tsx	read	${BASE_URL}/legal/policy/patient_terms?lang=${AR ? 	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-006	(auth)	(auth)/welcome.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /auth/guest	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-007	(tabs)	(tabs)/index.tsx	read	import { apiFetch } from '../../src/utils/api'; | /nutrition/daily-summary | /home/upcoming-appointment	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-008	(tabs)	(tabs)/health.tsx	read	"import { apiFetch } from ""../../src/utils/api""; | /health/vitals/summary | /health/score"	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-009	(tabs)	(tabs)/pharmacy.tsx	read	import { apiFetch, BASE_URL } from '../../src/utils/api'; | /medicines/categories | const data = await apiFetch(ep);	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-010	consultations	consultations/booking-confirm.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /insurance/companies | /insurance/companies/${insCompany}/networks	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-011	consultations	consultations/booking-pending.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /care/appointments/${appointmentId} | /care/appointments/${appointmentId}/cancel	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-012	consultations	consultations/cancel-reschedule.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /care/appointments/${appointmentId} | /care/doctors/${appointment.doctor_id}/slots?date=${d}&service_type=${serviceType}	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-013	consultations	consultations/video-call.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /calls/initiate | /calls/${sessionId}/join"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-014	consultations	consultations/chat-with-doctor.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /care/doctors/${doctorId} | /chat/threads/direct	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-015	consultations	consultations/post-call-rating.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /patient-ux/review	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
