confirmed_root_label	raw_ids	final_root_id	exact_evidence	cause_statement	business_rule	owner	derived_ids	disposition	reviewer_note
CONFIRMED_ROOT_ADMIN_PII_GOVERNANCE_DEFECT_BANS_RAW_UNBOUNDED_IDENTIFIER_REASON_LIST_NO_PROJECTION_PAGINATION_RETENTION	F-289	R-21G	src/modules/bans/bans.controller.ts:30–34	Admin ban listing returns raw identifier/reason records without minimum redacted projection, bounded pagination/cursor, purpose/audit or retention controls.	Privileged enforcement uses a typed canonical subject identity including ban type/value, versioned idempotent transition, scoped expiry/revocation and immutable actor/reason audit with durable event/session-revocation reconciliation. Admin enforcement views are role/purpose-scoped minimum redacted projections with bounded cursor/retention; raw identifiers and reasons are never an unbounded default list.	Security Enforcement + Admin Governance + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen backend archive. Existing canonical ban/approval/suspension lifecycle mapping remains unchanged. No ban, identifier, admin list, session revocation or runtime operation was accessed.
CONFIRMED_ROOT_AI_PROVIDER_GOVERNANCE_DEFECT_FALLBACK_PINNING_NO_FEATURE_DATA_CLASS_CONSENT_RESIDENCY_SAFETY_EQUIVALENCE_POLICY	F-227	R-17A	src/modules/ai/ai-gateway.service.ts:129–176	AI feature processing lacks explicit subject/owner/purpose authorization, consented/redacted external-data policy, provider feature/class/residency safety equivalence and truthful typed unavailable/provenance outcome.	AI use is a policy-authorized purpose-bound operation with data minimization/redaction/consent/retention/residency controls; provider selection/fallback is feature/class/safety governed and results carry typed availability and provenance rather than fabricated empty success.	AI Platform + Clinical Privacy + Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; AI quota ledger is R-05E and provider secret storage/rotation is a security/configuration root.
CONFIRMED_ROOT_AMBULANCE_FLEET_MUTATION_VALIDATION_VERSION_IDEMPOTENCY_AUDIT_DEFECT	F-450	R-10A	src/modules/emergency/ambulance-fleet.controller.ts:24–58	Emergency dispatch and ambulance fleet handling can report success after failed dispatch, use unbounded/stale matching, permit mixed state mutation and accept unvalidated location/fleet changes without durable history/version/audit.	Emergency requests and fleet transitions are server-authoritative versioned commands with validated fresh location/availability, bounded dispatch scoring, atomic assignment/handover history, explicit failure/retry and immutable audit; no client or swallowed failure confirms dispatch.	Emergency/Ambulance Operations	F-444	FINAL_MAPPED	Manual mapping; provider authorization, telemetry privacy, notifications and event durability are separate dependencies.
CONFIRMED_ROOT_ANALYTICS_SECURITY_DEFECT_MEDICINES_PUBLIC_UNVERIFIED_JWT_IDENTITY_ATTRIBUTION	F-123	R-12B	src/modules/medicines/medicines.controller.ts:34–42 ; src/modules/medicines/medicines.service.ts:169–179,682–688	Public medication analytics attributes activity to unverified JWT identity.	Public medication discovery is anonymous by default; any user attribution requires verified authenticated identity, purpose/consent, minimum event fields and privacy-safe analytics.	Public Discovery + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual public discovery/privacy root; no public endpoint, identity or analytics data was accessed.
CONFIRMED_ROOT_ANALYTICS_TRUTH_DEFECT_ADMIN_HEATMAP_SOS_HOME_VISIT_COLLAPSED_HOME_CARE_SOURCE_TAXONOMY	F-402	R-21E	src/modules/admin-web-core/controllers/analytics.controller.ts:40–56	Administrative heatmap exposes sensitive emergency/home demand without k-anonymity/suppression/audit, suppresses source failures, permits unbounded coordinate load and lacks range/precision/taxonomy contracts.	Location analytics use minimum aggregated k-anonymous/suppressed data with purpose-scoped audit, bounded server-side aggregation/query budgets, validated spatial range/precision and canonical source taxonomy; source failure is explicit rather than represented as live/empty truth.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no heatmap, location, database or runtime data was accessed.
CONFIRMED_ROOT_API_CONTRACT_DEFECT_FEATURE_FLAGS_PUBLIC_ADMIN_RAW_PERSISTENCE_DOCUMENT_NO_STABLE_DTO_PROJECTION	F-372	R-22A	src/modules/feature-flags/feature-flags.service.ts:19–20	Public and admin reads expose raw persistence documents rather than stable role-appropriate DTO projections.	Feature flags are a governed release control plane: public clients receive only an allowlisted stable DTO; mutations are constrained to a registry and protected by version/CAS, idempotency, actor/reason audit and outbox; targeting, staged rollout, kill switch, dependency compatibility and safe client defaults are server-governed.	Platform Configuration / Release Governance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from baseline archive source. F-373 is an independently rejected guard-registration false positive, not a derived defect; no flag database, client startup, audit or runtime service was accessed.
CONFIRMED_ROOT_API_CONTRACT_DEFECT_MEDICINES_LOCALE_UNVALIDATED_UNSUPPORTED_SILENT_RAW_OUTPUT	F-1056	R-06A1	src/modules/medicines/med-i18n.ts:10–19,162–179	Locale contract accepts an unvalidated internal DB-language value and silently returns raw output for unsupported values instead of a stable negotiated API result.	Medication catalog localization is sourced from approved versioned per-locale clinical/commercial catalog fields and coded vocabulary. Dosage form, strength, units and category facts are never heuristic translation truth. The resolved locale/fallback and translation provenance are explicit in a stable DTO; unsupported locales are rejected or negotiated by policy. Publication completeness is a separate product decision.	Medication Catalog Governance + Clinical Safety + Localization	F-1057	FINAL_MAPPED	Manual mapping from frozen backend archive. F-1049/F-1052 remain rejected false positives; F-1050 and F-1057 publication/parity matters remain separated as classified. No catalog, medicine, translation, client or runtime operation was accessed.
CONFIRMED_ROOT_API_DELEGATED_BOOKING_CONTRACT_DEFECT_CARE_SERVICE_SUPPORTS_FOR_MEMBER_ID_DTO_OMITS_VALIDATED_DOCUMENTED_FIELD	F-547	R-08B	src/modules/care/appointments.dto.ts:17–60 ; src/modules/care/appointments.service.ts:71–78	Family delegated-health actions lack a single authoritative capability/consent contract for target membership, scope, expiry/revocation, audit, state/idempotency and bounded emergency/calendar/booking delegation.	Every delegated family action verifies an active recipient/target capability with explicit scope, purpose, expiry/revocation and audit; consent/membership state transitions are idempotent, and health, calendar, emergency-contact and booking references are minimized and server-authoritative.	Family Platform + Care + Clinical Privacy	F-012,F-043,F-045,F-508,F-511	FINAL_MAPPED	Manual mapping; family chat F-052/F-308/F-313/F-934 and home search F-252 are intentionally excluded for their own roots.
CONFIRMED_ROOT_API_GOVERNANCE_DEFECT_MEDICINES_DUPLICATE_ADMIN_CATALOG_ROUTE_DIFFERENT_LIFECYCLE	F-119	R-12A	src/modules/medicines/medicines.controller.ts:246–250,305–308 ; src/modules/medicines/medicines.service.ts:843–860,1389–1418	Medication catalog has duplicate admin route/lifecycle and accepts raw mutation bodies without strict typed command/idempotency.	Medication catalog administration has one canonical versioned route/command lifecycle with typed allowlisted validation, idempotency/CAS, authorized actor/audit and authoritative catalog provenance.	Medication Catalog Governance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual catalog governance root; no medicine catalog or admin command was accessed.
CONFIRMED_ROOT_APPOINTMENT_SLOT_ATOMICITY_DEFECT_CARE_OVERLAP_LOOKUP_THEN_CREATE_NO_ATOMIC_RESERVATION_CAPACITY_TRANSITION	F-543	R-03A	src/modules/care/appointments.service.ts:108–118,143–187	Slot creation, lock, reschedule and release lack a unified provider/facility-timezone-aware atomic capacity reservation lifecycle with truthful expiry/reconciliation.	A service slot is server-owned and must validate provider/facility/kind/interval/timezone/capacity; reserve, confirm, release, expire and reschedule via versioned idempotent transitions, then bind payment/insurance confirmation only after the applicable rule.	Booking Platform + Care/Home-care/Service Catalog	F-545,F-678,F-714,F-1490	FINAL_MAPPED	Manual mapping; payment and insurance confirmation remain dependencies, not a client slot field.
