file	line	text
app/robots.ts	7	const privatePaths = ["/api/", ...locales.flatMap((locale) => privateRouteFamilies.map((route) => `/${locale}/${route}`))];
app/seo.test.ts	10	expect(rules?.disallow).toEqual(expect.arrayContaining(["/api/", "/ar/dashboard", "/en/profile", "/ur/orders", "/hi/health", "/bn/reminders", "/fil/medicines"]));
app/[locale]/appointments/appointments-ssr.test.ts	18	vi.mock("@/lib/api/appointments-server", () => ({
app/[locale]/appointments/page.tsx	6	import { extractAppointmentRows } from "@/lib/api/appointments";
app/[locale]/appointments/page.tsx	7	import { getPatientAppointments } from "@/lib/api/appointments-server";
app/[locale]/articles/page.tsx	5	import { getPublicArticleCategories, getPublicArticles } from "@/lib/api/articles-server";
app/[locale]/articles/page.tsx	6	import { parseArticleCategories, parseArticleList } from "@/lib/api/articles";
app/[locale]/articles/page.tsx	11	export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations("Articles");const Chevron=locale==="ar"||locale==="ur"?ChevronLeft:ChevronRight;const query=searchParams?await searchParams:{};const [response,categoriesResponse]=await Promise.all([getPublicArticles({q:query.q,category:query.category}),getPublicArticleCategories()]);if(!response||!response.ok)return <main className="main"><section className={styles.state} role="alert"><h1>{t("unavailableTitle")}</h1><p>{t("unavailable")}</p><RetryButton/></section></main>;const articles=parseArticleList(await response.json().catch(()=>null));const categories=categoriesResponse?.ok?parseArticleCategories(await categoriesResponse.json().catch(()=>null)):[];return <main className={`main ${styles.page}`}><section className={styles.hero}><p className={styles.eyebrow}><FileText size={15} aria-hidden="true"/>{t("eyebrow")}</p><h1>{t("title")}</h1><p>{t("notice")}</p><form className={styles.search} method="get"><Search size={18} aria-hidden="true"/><input name="q" defaultValue={query.q||""} maxLength={80} placeholder={t("searchPlaceholder")} aria-label={t("searchPlaceholder")}/><button type="submit">{t("search")}</button></form>{categories.length?<nav className={styles.chips} aria-label={t("categories")}>{categories.map((category)=><Link className={query.category===category?styles.chipActive:styles.chip} key={category} href={`/${locale}/articles?category=${encodeURIComponent(category)}`}><span dir="auto">{category}</span></Link>)}</nav>:null}</section>{articles.length?<section className={styles.list}>{articles.map((article)=><Link className={styles.card} key={article.slug} href={`/${locale}/articles/${article.slug}`}><span className={styles.icon}><FileText size={20} aria-hidden="true"/></span><span className={styles.copy}><strong dir="auto">{locale==="ar"?article.titleAr||article.titleEn:article.titleEn||article.titleAr||t("untitled")}</strong><span dir="auto">{article.category||t("categoryUnavailable")}</span></span><Chevron className={styles.arrow} size={18} aria-hidden="true"/></Link>)}</section>:<section className={styles.empty}><FileText size={34} aria-hidden="true"/><h2>{t("noResultsTitle")}</h2><p>{query.q||query.category?t("noResults"):t("empty")}</p></section>}</main>}
app/[locale]/cart/cart-ssr.test.ts	3	const state = vi.hoisted(() => ({ callPatientApi: vi.fn(), requirePatientAccess: vi.fn() }));
app/[locale]/cart/cart-ssr.test.ts	8	vi.mock("@/lib/api/upstream", () => ({ callPatientApi: state.callPatientApi }));
app/[locale]/cart/cart-ssr.test.ts	13	beforeEach(() => { state.requirePatientAccess.mockReset().mockResolvedValue("server-only-cart-token"); state.callPatientApi.mockReset(); });
app/[locale]/cart/cart-ssr.test.ts	15	state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ patient_id: "private-patient", groups: [{ kind: "pharmacy", count: 1, subtotal: 12, items: [{ line_id: "line-1", service_id: "med-1", name_ar: "Medicine", qty: 2, price: 6, notes: "private-notes", meta: { private: true } }] }], subtotal: 12, total: 12, currency: "SAR" }), { status: 200 }));
app/[locale]/cart/cart-ssr.test.ts	17	expect(state.callPatientApi).toHaveBeenCalledWith("/cart", {}, "server-only-cart-token");
app/[locale]/cart/cart-ssr.test.ts	23	state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ groups: [{ kind: "pharmacy", items: [{ line_id: "line-1", service_id: "med-1", name_ar: "Medicine" }] }], currency: "SAR" }), { status: 200 }));
app/[locale]/cart/cart-ssr.test.ts	30	state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ currency: "SAR" }), { status: 200 }));
app/[locale]/cart/cart-ssr.test.ts	37	state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ patient_id: "private-patient", subtotal: 12, home_visit_fee: 0, total: 12, currency: "SAR", notes: "private" }), { status: 200 }));
app/[locale]/cart/cart-ssr.test.ts	39	expect(state.callPatientApi).toHaveBeenCalledWith("/cart/checkout", {}, "server-only-cart-token");
app/[locale]/cart/page.tsx	5	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/cart/page.tsx	6	import { extractCartSummary } from "@/lib/api/cart";
app/[locale]/cart/page.tsx	20	const response = await callPatientApi("/cart", {}, token);
app/[locale]/chat/chat-ssr.test.ts	10	vi.mock("@/lib/api/chat-server", () => ({ getPatientChatThreads: state.getPatientChatThreads }));
app/[locale]/chat/page.tsx	3	import { extractChatThreadSummaries } from "@/lib/api/chat";
app/[locale]/chat/page.tsx	4	import { getPatientChatThreads } from "@/lib/api/chat-server";
app/[locale]/dashboard/dashboard-ssr.test.ts	10	vi.mock("@/lib/api/dashboard-server", () => ({ getPatientDashboardProfile: state.profile, getPatientDashboardUpcomingAppointment: state.appointment }));
app/[locale]/dashboard/page.tsx	8	import { getPatientDashboardProfile, getPatientDashboardUpcomingAppointment } from "@/lib/api/dashboard-server";
app/[locale]/dashboard/page.tsx	9	import { parseDashboardAppointment, parseDashboardProfile } from "@/lib/api/dashboard";
app/[locale]/diagnostics/diagnostics-ssr.test.ts	10	vi.mock("@/lib/api/diagnostics-server", () => ({ getDiagnosticBookings: state.getDiagnosticBookings, getDiagnosticBooking: state.getDiagnosticBooking }));
app/[locale]/diagnostics/page.tsx	4	import { extractDiagnosticBookings } from "@/lib/api/diagnostics";
app/[locale]/diagnostics/page.tsx	5	import { getDiagnosticBookings } from "@/lib/api/diagnostics-server";
app/[locale]/family/family-ssr.test.ts	10	vi.mock("@/lib/api/family-server", () => ({ getPatientFamilyMembers: state.getPatientFamilyMembers }));
app/[locale]/family/page.tsx	3	import { extractFamilyMembers } from "@/lib/api/family";
app/[locale]/family/page.tsx	4	import { parseFamilyGroup } from "@/lib/api/family-group";
app/[locale]/family/page.tsx	5	import { getPatientFamilyGroup } from "@/lib/api/family-group-server";
app/[locale]/family/page.tsx	6	import { getPatientFamilyMembers } from "@/lib/api/family-server";
app/[locale]/health/health-ssr.test.ts	11	vi.mock("@/lib/api/vitals-server", () => ({ getPatientVitalSummary: state.getPatientVitalSummary }));
app/[locale]/health/page.tsx	6	import { extractVitalSummary } from "@/lib/api/vitals";
app/[locale]/health/page.tsx	7	import { getPatientVitalSummary } from "@/lib/api/vitals-server";
app/[locale]/home-care/home-care-ssr.test.ts	10	vi.mock("@/lib/api/home-care-server", () => ({ getPatientHomeCareBookings: state.getPatientHomeCareBookings }));
app/[locale]/home-care/page.tsx	4	import { extractHomeCareBookings } from "@/lib/api/home-care";
app/[locale]/home-care/page.tsx	5	import { getPatientHomeCareBookings } from "@/lib/api/home-care-server";
app/[locale]/insurance/page.tsx	4	import { getPatientClaims } from "@/lib/api/claims-server";
app/[locale]/insurance/page.tsx	5	import { parseClaims } from "@/lib/api/claims";
app/[locale]/insurance/page.tsx	6	import { getPatientInsuranceBenefits, getPatientInsurancePolicy } from "@/lib/api/insurance-server";
