screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
CLAUDE.md	cross-surface	source/config		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package.json	identity/session	source/config	"2: ""name"": ""web-admin"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
eslint.config.mjs	family/health	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
README.md	family/health	source/config	1: This is a [Next.js](https://nextjs.org) project bootstrapped with [`create-next-app`](https://nextjs.org/docs/pages/api-reference/create-next-app). || 19: You can start editing the page by modifying `pages/index.tsx`. The page auto-updates as you edit the file. || 21: [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) can be accessed on [http://localhost:3000/api/hello](http://localhost:3000/api/hello). This endpoint can be edited in `pages/api/hello.ts`. || 23: The `pages/api` directory is mapped to `/api/*`. Files in this directory are treated as [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) instead of React pages. || 25: This project uses [`next/font`](https://nextjs.org/docs/pages/building-your-application/optimizing/fonts) to automatically optimize and load [Geist](https://vercel.com/font), a new font family for Vercel. || 32: - [Learn Next.js](https://nextjs.org/learn-pages-router) - an interactive Next.js tutorial. || 40: Check out our [Next.js deployment documentation](https://nextjs.org/docs/pages/building-your-application/deploying) for more details. || 21: [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) can be accessed on [http://localhost:3000/api/hello](http://localhost:3000/api/hello). This endpoint can be edited in `pages/api/hello.ts`. || 23: The `pages/api` directory is mapped to `/api/*`. Files in this directory are treated as [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) instead of React pages.	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
AGENTS.md	cross-surface	source/config		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
next-env.d.ts	cross-surface	config/build	"3: import ""./.next/types/routes.d.ts""; || 6: // see https://nextjs.org/docs/pages/api-reference/config/typescript for more information."	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package-lock.json	identity/session	source/config	"479: ""@humanwhocodes/retry"": ""^0.4.0"" || 509: ""node_modules/@humanwhocodes/retry"": { || 511: ""resolved"": ""https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz"", || 3239: ""@humanwhocodes/retry"": ""^0.4.2"", || 280: ""node_modules/@emnapi/core"": { || 282: ""resolved"": ""https://registry.npmjs.org/@emnapi/core/-/core-1.10.0.tgz"", || 288: ""@emnapi/wasi-threads"": ""1.2.1"", || 292: ""node_modules/@emnapi/runtime"": { || 294: ""resolved"": ""https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.11.2.tgz"", || 302: ""node_modules/@emnapi/wasi-threads"": { || 304: ""resolved"": ""https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.1.tgz"", || 923: ""@emnapi/runtime"": ""^1.7.0"" || 1054: ""@emnapi/core"": ""^1.7.1"", || 1055: ""@emnapi/runtime"": ""^1.7.1"" || 1471: ""@emnapi/core"", || 1472: ""@emnapi/runtime"", || 2: ""name"": ""web-admin"", || 8: ""name"": ""web-admin"", || 48: ""js-tokens"": ""^4.0.0"", || 2586: ""integrity"": ""sha512-AjYpR78kDWAY3Efj+cDTFH9t9SCoL7OoTp1BOb0mQV7S+6CiLwnWM3FyxhJtdPufDFKzmCSFoUncKjWgJEZTCQ=="", || 4620: ""node_modules/js-tokens"": { || 4622: ""resolved"": ""https://registry.npmjs.org/js-tokens/-/js-tokens-4.0.0.tgz"", || 5048: ""js-tokens"": ""^3.0.0 || ^4.0.0"" || 5506: ""integrity"": ""sha512-ojmeN0qd+y0jszEtoY48r0Peq5dwMEkIlCOu6Q5f41lfkswXuKtYrhgoTpLnyIcHm24Uhqx+5Tqm2InSwLhE6Q=="","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
tsconfig.json	family/health	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
next.config.ts	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
postcss.config.mjs	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/_app.tsx	admin/provider-ops	ui/screen	"5: export default function App({ Component, pageProps, router }: AppProps) { || 6: // If the route is under /admin, wrap it with the AdminGuard || 7: if (router.pathname.startsWith('/admin')) { || 10: <Component {...pageProps} /> || 16: return <Component {...pageProps} />; || 3: import { AdminGuard } from ""@/components/AdminGuard""; || 6: // If the route is under /admin, wrap it with the AdminGuard || 7: if (router.pathname.startsWith('/admin')) { || 9: <AdminGuard> || 11: </AdminGuard>"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/_document.tsx	cross-surface	ui/screen		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/login.tsx	pharmacy/orders	ui/screen	"2: import { useRouter } from 'next/router'; || 10: * obscurity): the page presents only ""نبض — تسجيل دخول"". The 2FA flow and || 13: export default function AdminLogin() { || 14: const router = useRouter(); || 26: const handleLogin = async (e: React.FormEvent) => { || 31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, { || 49: completeLogin(data); || 62: const res = await fetch(`${API_BASE}/api/v1/auth/login/verify-2fa`, { || 69: completeLogin(data); || 84: const res = await fetch(`${API_BASE}/api/v1/auth/passkey/login/verify`, { || 91: completeLogin(data); || 141: const completeLogin = (data: any) => { || 31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, { || 62: const res = await fetch(`${API_BASE}/api/v1/auth/login/verify-2fa`, { || 84: const res = await fetch(`${API_BASE}/api/v1/auth/passkey/login/verify`, { || 103: const res = await fetch(`${API_BASE}/api/v1/auth/send-otp`, { || 122: const res = await fetch(`${API_BASE}/api/v1/auth/reset-password`, { || 9: * Discreet sign-in — no role/panel branding by design (security through || 11: * role gate stay identical; unauthorized accounts simply see a generic error. || 13: export default function AdminLogin() { || 17: const [otp, setOtp] = useState(''); || 18: const [step, setStep] = useState<'credentials' | 'otp' | 'passkey' | 'reset-request' | 'reset-confirm'>('credentials'); || 26: const handleLogin = async (e: React.FormEvent) => { || 31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/index.tsx	pharmacy/orders	ui/screen	"7: * M6-SEO1 / ER-2: public landing page — was an admin-only redirect (M0). || 38: <link rel=""canonical"" href={SITE} /> || 48: <div dir=""rtl"" className=""min-h-screen bg-gradient-to-b from-teal-50 to-white""> || 52: <Link href=""/login"" className=""text-sm text-slate-500 hover:text-teal-700"">دخول المزودين والإدارة</Link> || 53: <a href=""#download"" className=""bg-teal-600 hover:bg-teal-700 text-white text-sm font-bold px-4 py-2 rounded-lg transition-colors"">حمّل التطبيق</a> || 70: <Link key={s.href} href={s.href} className=""bg-white rounded-2xl border border-slate-200 p-6 hover:border-teal-400 hover:shadow-md transition-all group""> || 76: <div id=""download"" className=""bg-teal-700 rounded-2xl p-6 text-white flex flex-col justify-between""> || 19: { href: '/home-care-services', icon: '', title: 'الرعاية المنزلية', desc: 'تمريض وعلاج طبيعي ورعاية منزلية حتى باب منزلك' }, || 7: * M6-SEO1 / ER-2: public landing page — was an admin-only redirect (M0). || 52: <Link href=""/login"" className=""text-sm text-slate-500 hover:text-teal-700"">دخول المزودين والإدارة</Link> || 4: import EmptyIcon from '../components/EmptyIcon'; || 78: <EmptyIcon name=""phone"" size={36} color=""#FFFFFF"" className=""mb-3"" /> || 44: <meta name=""twitter:card"" content=""summary_large_image"" /> || 4: import EmptyIcon from '../components/EmptyIcon'; || 78: <EmptyIcon name=""phone"" size={36} color=""#FFFFFF"" className=""mb-3"" />"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/s/[type]/[slug].tsx	pharmacy/orders	ui/screen	"8: * M6-SEO1 / ER-2+ER-3: public entity page — /s/:type/:slug || 10: * entity added to the database automatically gets an indexable page with || 43: export default function EntityPage({ meta, type }: Props) { || 48: <div dir=""rtl"" className=""min-h-screen flex flex-col items-center justify-center bg-slate-50 gap-4""> || 51: <Link href=""/"" className=""text-teal-700 font-bold"">العودة للرئيسية</Link> || 66: <link rel=""canonical"" href={`${SITE}/s/${type}/${meta.slug}`} /> || 83: <div dir=""rtl"" className=""min-h-screen bg-slate-50""> || 87: <Link href=""/"" className=""text-xl font-black text-teal-700"">نبض</Link> || 88: <a href={`nabdplus://s/${type}/${meta.slug}`} className=""bg-teal-600 hover:bg-teal-700 text-white text-sm font-bold px-4 py-2 rounded-lg transition-colors""> || 93: <Link href=""/"" className=""hover:text-teal-700"">الرئيسية</Link> || 95: <Link href={t.dir} className=""hover:text-teal-700"">{t.label}</Link> || 233: <a href={`nabdplus://s/${type}/${meta.slug}`} className=""inline-block mt-4 bg-white text-teal-700 font-bold px-6 py-2.5 rounded-lg"">فتح في تطبيق نبض</a> || 22: 'home-care-service': { dir: '/home-care-services', label: 'الرعاية المنزلية' }, || 246: const r = await fetch(`${API_BASE}/api/v1/seo/meta/${type}/${encodeURIComponent(slug)}`, { || 5: import EmptyIcon from '../../../components/EmptyIcon'; || 49: <EmptyIcon name=""search"" size={44} color=""#94A3B8"" /> || 163: <img key={i} src={src} alt={`${name} ${i + 1}`} className=""w-40 h-40 rounded-xl object-cover border border-slate-100"" loading=""lazy"" /> || 249: if (!r.ok) throw new Error(`HTTP ${r.status}`); || 11: * metadata, JSON-LD, OG/Twitter cards, canonical URL, and an app deep link. || 74: <meta name=""twitter:card"" content={meta.twitter?.card || 'summary'} /> || 102: {/* Hero card */} || 112: {typeof e.price === 'number' && e.price > 0 && ( || 113: <span className=""bg-emerald-50 text-emerald-700 text-xs font-bold px-3 py-1.5 rounded-full"">{e.price} ر.س</span> || 5: import EmptyIcon from '../../../components/EmptyIcon';"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/home-care-services/index.tsx	diagnostics/homecare	ui/screen	4: export default function HomeCareServicesPage({ items }: { items: any[] }) { || 20: const items = await fetchDirectory('/home-care/services'); || 12: itemBadge: (e) => (e.price ? `${e.price} ر.س` : null),	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/api/hello.ts	chat/support	ui/screen	"1: // Next.js API route support: https://nextjs.org/docs/api-routes/introduction || 12: res.status(200).json({ name: ""John Doe"" });"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/doctors/index.tsx	consultation/booking	ui/screen	4: export default function DoctorsPage({ items }: { items: any[] }) {	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/lab-services/index.tsx	diagnostics/homecare	ui/screen	4: export default function LabServicesPage({ items }: { items: any[] }) { || 20: const items = await fetchDirectory('/labs/services'); || 12: itemBadge: (e) => (e.price ? `${e.price} ر.س` : null),	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/articles/index.tsx	catalog/discovery	ui/screen	4: export default function ArticlesPage({ items }: { items: any[] }) {	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
src/pages/admin/fraud-monitoring.tsx	pharmacy/orders	ui/screen	"69: IMMUTABLE: No Write Routes || 35: const alertsRes = await fetchWithAdminGuard(`${API_BASE}/api/v1/admin/governance/fraud-alerts`); || 42: const logsRes = await fetchWithAdminGuard(`${API_BASE}/api/v1/admin/governance/audit-logs`); || 2: import { fetchWithAdminGuard } from '@/utils/api'; || 17: actorRole: string; || 35: const alertsRes = await fetchWithAdminGuard(`${API_BASE}/api/v1/admin/governance/fraud-alerts`); || 42: const logsRes = await fetchWithAdminGuard(`${API_BASE}/api/v1/admin/governance/audit-logs`); || 112: <th className=""px-6 py-3 font-medium"">Role</th> || 123: <span className={`px-2 py-1 rounded text-xs font-bold tracking-wider ${log.actorRole === 'SUPER_ADMIN' ? 'bg-purple-100 text-purple-700' : 'bg-slate-200 text-slate-700'}`}> || 124: {log.actorRole} || 1: import React, { useEffect, useState } from 'react'; || 25: const [alerts, setAlerts] = useState<FraudAlert[]>([]); || 26: const [logs, setLogs] = useState<AuditLog[]>([]); || 27: const [isLoading, setIsLoading] = useState(true); || 32: setIsLoading(true); || 47: } catch (error) { || 48: console.error('Governance fetch error:', error); || 50: setIsLoading(false); || 20: payloadHash: string; || 114: <th className=""px-6 py-3 font-medium"">Payload Hash</th> || 132: {log.payloadHash} || 27: const [isLoading, setIsLoading] = useState(true); || 32: setIsLoading(true); || 47: } catch (error) {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
