planning_id	evidence_class	allowed_for_build	workstream	severity	owner	status	source	summary	required_gate
RD-0001	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:17–31;:1–10;:26–31;:27–44;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:15–19,34–36;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:1–41;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:34–36;e2e/matrix.js:419–435;infra/fastapi/ai_routes.py:91–115;infra/fastapi/ai_service.py:193–226,269–299;infra/fastapi/import_etl_products.py:124–165;infra/fastapi/import_etl_products.py:1–202;infra/fastapi/import_etl_products.py:81–105,118–186;infra/fastapi/seed_dev.py:247–385;infra/fastapi/seed_dev.py:387–429;infra/fastapi/seed_dev.py:8–509;infra/fastapi/server.py:468–501,522–535;medicines/[medicineId]/page.tsx:61;medicines/page.tsx:44;scripts/backfill-catalog-governance.ts:104–115	Cross-cutting catalog/provenance/publication control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0002	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:11–42;:12–25;:205–207,230–232,322–329;:23–29;:28–48;:595–614;:77–128,154–191;:86–93;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:11–19;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:11–19,34–36;infra/docker-compose.infra.yml:3–38;infra/fastapi/ai_routes.py:118–154;infra/fastapi/ai_routes.py:92–112;infra/fastapi/ai_service.py:119–144,176–190,211–225;infra/fastapi/ai_service.py:176–191;infra/fastapi/ai_service.py:180–190,220–225,292–299;infra/fastapi/ai_service.py:193–226;infra/fastapi/ai_service.py:29–37,305–307;infra/fastapi/ai_service.py:66–83,259–299;infra/fastapi/setup_server.sh:66–76	Cross-cutting clinical/safety validation control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0003	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:13–16;:15–19;:173–192;:215–245;:39–47;:435–481, 510–558;:47–56;:4–28;:58–87;:5–37;app/[locale]/home-care/services/[serviceId]/page.tsx:11–18;app/[locale]/medicines/[medicineId]/page.tsx:16–36,40–64;app/offers/[id].tsx;docs/PATIENT_WEB_PUBLIC_DISCOVERY_HANDOFF.md:15–19;e2e/matrix.js:149–166,437–455;infra/fastapi/import_etl_products.py:28–44,135–168;infra/fastapi/seed_dev.py:1–509;infra/fastapi/seed_dev.py:512–534;nabd-patient-web/app/[locale]/cart/page.tsx:14–33;nabd-patient-web/app/[locale]/medicine-catalog/page.tsx:19–29,32–44	Cross-cutting financial truth/settlement control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0004	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:105–114;:12–23;:159–165, 207–209, 246–254;:15–16,27–29;:29–58;:46–58;:5–10;infra/fastapi/ai_service.py:60–86,265–267;infra/fastapi/requirements.txt:27; infra/fastapi/ai_service.py:64;infra/fastapi/tests/test_nabd_backend.py:72–142,165–204;scripts/backfill-catalog-governance.ts:127–142;scripts/publish-insurance-logo-assets.ts:43–49;scripts/reconcile-insurance-catalog.ts:76–80;scripts/seed-medicines.js:14–16,89;scripts/seed-medicines.js:26,43,60,77;scripts/seed-medicines.js:89–95,99–100;src/common/slug.util.ts:21–33;src/contracts/catalog-governance-backfill.contract.spec.ts:28–42;src/contracts/catalog-governance-backfill.contract.spec.ts:35–40,47–50;src/contracts/catalog-governance-backfill.contract.spec.ts:4–26	Cross-cutting input/schema validation control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0005	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P1	Provider	BLOCKED_BY_DECISION	src/common/slug.util.ts:36–46;src/modules/care/repositories/facility.repository.ts:8–13;src/modules/doctors/doctors.module.ts:224–231;src/modules/loyalty/loyalty.service.spec.ts:60–127;src/modules/notifications/notifications.service.spec.ts:5–27;src/modules/notifications/notifications.service.spec.ts:6,15–26;src/modules/slot-locks/slot-locks.service.spec.ts:34–62;src/schemas/facility.schema.ts:11–60;src/scripts/seed_test.ts:237–287	Cross-cutting observability/lifecycle control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0006	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Patient Mobile	BLOCKED_BY_DECISION	:111–123;:116–130;:11–16;:142–155,219–226;:167–262, 619–685, 762–797;:377–433, 483–508;:46–50;:46–64;:66–88;:76–98,146–190;:95–109, 136–139;DoctorDashboard.tsx:189–419;e2e/matrix.js:243–321;infra/fastapi/server.py:343–375;infra/fastapi/server.py:582–640;nabd_plus_patient_app/app/map/index.tsx:165–247,249–318,336–345,604–660;nabd_plus_patient_app/app/nursing/service-details.tsx:32–52,69–80,94–153,199–227;nabd_plus_patient_app/app/pharmacy/barcode-scanner.tsx:25–58,60–98,111–157,164–217;nabd_plus_patient_app/app/pharmacy/chat-with-pharmacist.tsx;nabd_plus_patient_app/app/pharmacy/pharmacist-chat.tsx	Cross-cutting privacy/authorization control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0007	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:19–47;docker-compose.prod.yml:21–22,30–31,39–49;docker-compose.yml:3–18;docker-compose.yml:4–5;infra/docker-compose.infra.yml:8–9,17–18,23–38;infra/fastapi/tests/test_nabd_backend.py:28–415;jest.boot.config.js:1–8;package.json:91–107;scripts/reconcile-insurance-catalog.ts:18–35;scripts/test-flow.js:1–71;src/common/slug.util.ts:36–40;src/modules/ai/ai.service.excel.spec.ts:5–14;src/modules/ai/ai.service.spec.ts:13–25;src/modules/care/tests/public-discovery.spec.ts:7–24;src/modules/compat/admin-spa.module.ts:734–825;src/modules/coturn/coturn.service.ts:47–65;src/modules/custom-services/repositories/customservicerequest.repository.ts:5–6;src/modules/doctors/doctors.module.ts:52–54,214–232;src/modules/events/catalog-publication.service.spec.ts:81–92;src/modules/events/event-bus.service.spec.ts:1–19	Cross-cutting runtime/deployment evidence control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0008	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	:13–18;:17–20;:19–20;:20–31;:21–24;:28–32;:31–50;:32–45;:34–36;:356–381, 384–429;:49–51;:50–70;:8–22;diagnostics/labs/page.tsx:12–26;diagnostics/radiology/page.tsx:13–21;infra/fastapi/import_etl_products.py:100–116;infra/fastapi/import_etl_products.py:170–186;infra/fastapi/import_etl_products.py:70–79,124–133;infra/fastapi/seed_dev.py:248–264,267–385;infra/fastapi/setup_server.sh:38–42	Cross-cutting state/concurrency/idempotency control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0009	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	catalog/quote	P0	Backend	BLOCKED_BY_DECISION	infra/fastapi/ai_service.py:166–191,208–226,300–302;src/common/slug.util.ts:21–46;src/modules/ai/ai.admin-containment.spec.ts:7–11;src/modules/ai/ai.service.excel.spec.ts:17–21;src/modules/booking-flow/booking-flow.service.spec.ts:1,14–28;src/modules/care/tests/public-discovery.spec.ts:90–100;src/modules/i18n/i18n.controller.ts:12–16; src/modules/i18n/i18n.service.ts:728–737;src/modules/medicines/med-i18n.spec.ts:18–34;src/modules/medicines/med-i18n.spec.ts:3–16,23–33;src/modules/medicines/med-i18n.ts:10–19,162–179;src/modules/medicines/medicines.public-catalog.contract.spec.ts:15–26,33–38;src/modules/medicines/medicines.public-catalog.contract.spec.ts:4–11,23–30;src/modules/provider-jobs/provider-jobs.module.ts:55–80;src/modules/seed/seed.service.ts:282–311;src/modules/slot-locks/slot-locks.service.spec.ts:53–62;src/modules/tour/tour.service.ts:11–14;src/schemas/medicine.schema.ts:8–10,101–107	Cross-cutting ux/parity/completeness control is inconsistent or not evidenced across the catalog/quote surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0010	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P2	Backend	BLOCKED_BY_DECISION	:18–24,61–67;e2e/matrix2.js:30–102,548–562;infra/docker-compose.infra.yml:23–38;src/modules/admin-command-center/admin-command-center.module.ts:40–59;src/modules/admin/admin.module.ts:11–16;src/modules/booking-ops/booking-ops.module.ts:50–56,163–169;src/modules/medical-reports/medical-reports.controller.ts:27–30;src/modules/nabd-extensions/repositories/appointment.repository.ts:1–13;src/modules/nabd-extensions/repositories/vitalreading.repository.ts:1–13;src/modules/provider-jobs/provider-jobs.module.ts:27–35,273–282;src/schemas/appointment.schema.ts:52–126;src/schemas/hospital-operations.schema.ts:60–72	Cross-cutting catalog/provenance/publication control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
