surface	journey	journey_definition	screen_or_route	cta_action	actor	frontend_source_path	frontend_line	request_method_path_or_socket	request_payload_fields	backend_source_path	backend_line	backend_controller_service_dto_schema_state	ownership_role_checks	price_stock_provider_insurance_source	payment_trigger_and_state	provider_admin_step	result_report_notification	happy_state	unauth_state	wrong_role_state	owner_stranger_state	validation_state	error_state	loading_state	empty_state	retry_state	cancel_refund_state	evidence_classification	evidence_note
patient-mobile	Pharmacy	cart → submit request → broadcast → offers → chosen pharmacy → cash/card or COD policy, or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	app/rn_screens.json	"""file"": ""offers/[id].tsx"","	patient	app/rn_screens.json	55	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/pharmacy/services/smart-split.service.ts	4	* Persists full explainability snapshot on the order's split_decision field.	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/rn_screens.json:55` and backend anchor `src/modules/pharmacy/services/smart-split.service.ts:4` are static only; no runtime proof.
patient-mobile	Consultation	online/clinic/home → doctor → slot → cash confirmation or insurance request/decision/co-pay/payment → reschedule/cancel/no-show/video/report	app/orders/index.tsx	doctors: { label: 'استشارة', icon: 'doctor', color: '#23B5CE' },	patient	app/orders/index.tsx	35	safe(apiFetch('/labs/bookings/mine')),	Static payload extraction required; not inferred when absent	src/modules/livekit/livekit.service.ts	7	import { APPT_STATES } from '../../schemas/appointment.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `app/orders/index.tsx:35` and backend anchor `src/modules/livekit/livekit.service.ts:7` are static only; no runtime proof.
patient-mobile	Labs	home/center → lab provider → slot → cash confirmation or insurance decision/co-pay → execution → result/report/PHI	app/nursing/service-info.tsx	const { serviceId, flow, gender, availability, nationality, search } = params;	patient	app/nursing/service-info.tsx	21	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/labs/lab-pdf.service.ts	9	export class LabPdfService {	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/nursing/service-info.tsx:21` and backend anchor `src/modules/labs/lab-pdf.service.ts:9` are static only; no runtime proof.
patient-mobile	Radiology	home/center → radiology provider → slot → cash confirmation or insurance decision/co-pay → execution → report/PHI	app/services/index.tsx	{ title: 'الأشعة والتصوير', desc: 'حجز مواعيد الأشعة', icon: 'radiology-box-outline', route: '/(tabs)/diagnostics' },	patient	app/services/index.tsx	24	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/services/index.tsx:24` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
patient-mobile	Nursing/Home-care	home service → provider/visit → cash confirmation or insurance decision/co-pay → execution → report/cancel	app/nursing/service-info.tsx	// Nursing service PROFILE — hero image + full description + preparations +	patient	app/nursing/service-info.tsx	2	pathname: '/nursing/service-details',	Static payload extraction required; not inferred when absent	src/modules/provider/simulated-features.controller.ts	11	import { HomeCareBooking, HomeCareBookingState, NursingVisitReport } from '../../schemas/home-care.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `app/nursing/service-info.tsx:2` and backend anchor `src/modules/provider/simulated-features.controller.ts:11` are static only; no runtime proof.
patient-mobile	Identity/OTP/Roles	login/register → OTP/session → ownership/role boundary → logout/revocation	src/services/auth/AuthManager.ts	import { AuthProvider, AuthResult, AuthUser } from './types';	patient	src/services/auth/AuthManager.ts	1	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/provider/services/provider-auth.service.ts	1	import { Injectable, BadRequestException, ConflictException, NotFoundException, UnauthorizedException, Logger, Inject } from '@nestjs/common';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/auth/AuthManager.ts:1` and backend anchor `src/modules/provider/services/provider-auth.service.ts:1` are static only; no runtime proof.
patient-mobile	Family/Health	family/delegation/consent → health record/vitals/maternity/mental health → notification	app/services/index.tsx	{ title: 'الملف الصحي', desc: 'علاماتك الحيوية وسجلك الطبي', icon: 'health', route: '/(tabs)/health' },	patient	app/services/index.tsx	33	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	16	"import { FamilyGroupRepository } from ""./repositories/familygroup.repository"";"	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/services/index.tsx:33` and backend anchor `src/modules/family/family.service.ts:16` are static only; no runtime proof.
patient-mobile	Prescription/Chat/Support	prescription/read/upload → chat/support/community → notification/result	app/rn_screens.json	"""file"": ""settings/support-chat.tsx"","	patient	app/rn_screens.json	11	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/rn_screens.json:11` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
patient-mobile	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	app/services/index.tsx	{ title: 'التأمين الطبي', desc: 'وثيقتك وتغطيتك التأمينية', icon: 'shield', route: '/insurance' },	patient	app/services/index.tsx	60	{ title: 'التأمين الطبي', desc: 'وثيقتك وتغطيتك التأمينية', icon: 'shield', route: '/insurance' },	Static payload extraction required; not inferred when absent	src/modules/wallet/wallet.service.ts	5	import { WalletDocument, WalletTransactionDocument } from '../../schemas/wallet.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `app/services/index.tsx:60` and backend anchor `src/modules/wallet/wallet.service.ts:5` are static only; no runtime proof.
patient-mobile	Settings/Accessibility/Location	language/RTL/accessibility → map/location/emergency → notification	app/rn_screens.json	"""file"": ""settings/notifications-settings.tsx"","	patient	app/rn_screens.json	7	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	23	'pharmacy', 'payment', 'location', 'emergency', 'view_health', 'book_for',	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/rn_screens.json:7` and backend anchor `src/modules/family/family.service.ts:23` are static only; no runtime proof.
